Date,"New York, NY",Uberx,Uberpool,Min_temp,
12/28/03,5188,0,0,2.136363636,
1/4/04,3261,0,0,-8.456493506,
1/11/04,1765,0,0,-10.12662338,
1/18/04,1231,0,0,-9.862987013,
1/25/04,993,0,0,-8.984090909,
2/1/04,1083,0,0,-8.983333333,
2/8/04,786,0,0,-4.313772455,
2/15/04,966,0,0,-3.288690476,
2/22/04,979,0,0,-4.008928571,
2/29/04,907,0,0,-3.068902439,
3/7/04,669,0,0,4.777272727,
3/14/04,832,0,0,0.094805195,
3/21/04,846,0,0,-1.226315789,
3/28/04,804,0,0,2.07012987,
4/4/04,759,0,0,2.195454545,
4/11/04,904,0,0,4.239285714,
4/18/04,638,0,0,2.759589041,
4/25/04,554,0,0,6.117006803,
5/2/04,572,0,0,8.865306122,
5/9/04,395,0,0,8.060176991,
5/16/04,485,0,0,12.51521739,
5/23/04,465,0,0,8.17607362,
5/30/04,426,0,0,14.38888889,
6/6/04,582,0,0,14.66011905,
6/13/04,429,0,0,12.63964497,
6/20/04,407,0,0,11.575,
6/27/04,397,0,0,13.24697987,
7/4/04,411,0,0,15.32402235,
7/11/04,288,0,0,18.71797753,
7/18/04,313,0,0,16.19421965,
7/25/04,381,0,0,15.39459459,
8/1/04,407,0,0,17.94842105,
8/8/04,479,0,0,18.78693182,
8/15/04,434,0,0,18.20607735,
8/22/04,525,0,0,19.51560694,
8/29/04,548,0,0,18.70272109,
9/5/04,577,0,0,22.74782609,
9/12/04,712,0,0,18.0826087,
9/19/04,727,0,0,18.93067485,
9/26/04,695,0,0,17.93227848,
10/3/04,849,0,0,17.53333333,
10/10/04,1372,0,0,21.52666667,
10/17/04,1693,0,0,16.77033898,
10/24/04,1813,0,0,16.98242424,
10/31/04,1448,0,0,15.70059524,
11/7/04,1330,0,0,13.61017964,
11/14/04,1505,0,0,11.45757576,
11/21/04,1584,0,0,14.946875,
11/28/04,1504,0,0,8.852173913,
12/5/04,1640,0,0,7.916049383,
12/12/04,2008,0,0,7.166666667,
12/19/04,2620,0,0,8.288050314,
12/26/04,3311,0,0,5.844186047,
1/2/05,3381,0,0,0.472941176,
1/9/05,2680,0,0,4.395321637,
1/16/05,2183,0,0,4.805780347,
1/23/05,2174,0,0,1.994,
1/30/05,2616,0,0,0.74789916,
2/6/05,2720,0,0,3.519393939,
2/13/05,2825,0,0,-3.298203593,
2/20/05,2907,0,0,-5.996428571,
2/27/05,1940,0,0,64.05416667,
3/6/05,1835,0,0,-3.903333333,
3/13/05,1626,0,0,2.112352941,
