City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Anchorage, AK",,,,,,,,,,,,,,
"Birmingham, AL",,,,,,,,,,,,,,
"Little Rock, AR",,,,,,,,,,,,,,
"Mesa, AZ",,,,,,,,,,,,,,
"Phoenix, AZ",,,,,,,,,,,,,,
"Scottsdale, AZ",,,,,,,,,,,,,,
"Tempe, AZ",,,,,,,,,,,,,,
"Tucson, AZ",,,,,,,,,,,,,,
"Berkeley, CA",,,,,,,,,,,,,,
"Fresno, CA",,,,,,,,,,,,,,
"Irvine, CA",,,,,,,,,,,,,,
"Los Angeles, CA",,,,,,,,,,,,,,
"Oakland, CA",,,,,,,,,,,,,,
"Sacramento, CA",,,,,,,,,,,,,,
"San Diego, CA",,,,,,,,,,,,,,
"San Francisco, CA",32.7,30.3,33,31.9,31.8,34.1,31.6,33.1,32.7,34,34.7,34.3,,
"San Jose, CA",,,,,,,,,,,,,,
"Santa Clara, CA",,,,,,,,,,,,,,
"Sunnyvale, CA",,,,,,,,,,,,,,
"Colorado Springs, CO",,,,,,,,,,,,,,
"Denver, CO",,,,,,,,,,,,,,
"Washington, DC",,,,,,,,,,,,,,
"Gainesville, FL",,,,,,,,,,,,,,
"Jacksonville, FL",,,,,,,,,,,,,,
"Miami, FL",,,,,,,,,,,,,,
"Orlando, FL",,,,,,,,,,,,,,
"Tampa, FL",,,,,,,,,,,,,,
"Atlanta, GA",,,,,,,,,,,,,,
"Roswell, GA",,,,,,,,,,,,,,
"Honolulu, HI",,,,,,,,,,,,,,
"Des Moines, IA",,,,,,,,,,,,,,
"Boise, ID",,,,,,,,,,,,,,
"Chicago, IL",25.30,25.40,26.70,26.7,26.5,26.5,27.6,26.3,27.8,28.2,28.3,28.2,,
"Indianapolis, IN",,,,,,,,,,,,,,
"Wichita, KS",,,,,,,,,,,,,,
"Lexington, KY",,,,,,,,,,,,,,
"Baton Rouge, LA",,,,,,,,,,,,,,
"New Orleans, LA",,,,,,,,,,,,,,
"Boston, MA",,,,,,,,,,,,,,
"Somerville, MA",,,,,,,,,,,,,,
"Baltimore, MD",,,,,,,,,,,,,,
"Grand Rapids, MI",,,,,,,,,,,,,,
"St Paul, MN",,,,,,,,,,,,,,
"Kansas City, MO",,,,,,,,,,,,,,
"Springfield, MO",,,,,,,,,,,,,,
"St Louis, MO",,,,,,,,,,,,,,
"Jackson, MS",,,,,,,,,,,,,,
"Cary, NC",,,,,,,,,,,,,,
"Charlotte, NC",,,,,,,,,,,,,,
"Durham, NC",,,,,,,,,,,,,,
"Greensboro, NC",,,,,,,,,,,,,,
"Raleigh, NC",,,,,,,,,,,,,,
"Lincoln, NE",,,,,,,,,,,,,,
"Omaha, NE",,,,,,,,,,,,,,
"Newark, NJ",,,,,,,,,,,,,,
"Albuquerque, NM",,,,,,,,,,,,,,
"Las Vegas, NV",,,,,,,,,,,,,,
"Reno, NV",,,,,,,,,,,,,,
"Albany, NY",,,,,,,,,,,,,,
"Buffalo, NY",,,,,,,,,,,,,,
"New York, NY",54.6,54.2,54.6,54.8,54.9,55.7,56.3,55.9,56.7,57.1,57,56.6,,
"Rochester, NY",,,,,,,,,,,,,,
"Cleveland, OH",,,,,,,,,,,,,,
"Columbus, OH",,,,,,,,,,,,,,
"Dayton, OH",,,,,,,,,,,,,,
"Oklahoma City, OK",,,,,,,,,,,,,,
"Tulsa, OK",,,,,,,,,,,,,,
"Beaverton, OR",,,,,,,,,,,,,,
"Eugene, OR",,,,,,,,,,,,,,
"Portland, OR",,,,,,,,,,,,,,
"Philadelphia, PA",,,,,,,,,,,,,,
"Pittsburgh, PA",,,,,,,,,,,,,,
"State College, PA",,,,,,,,,,,,,,
"Providence, RI",,,,,,,,,,,,,,
"Columbia, SC",,,,,,,,,,,,,,
"Greenville, SC",,,,,,,,,,,,,,
"Knoxville, TN",,,,,,,,,,,,,,
"Memphis, TN",,,,,,,,,,,,,,
"Nashville, TN",,,,,,,,,,,,,,
"Austin, TX",,,,,,,,,,,,,,
"Dallas, TX",,,,,,,,,,,,,,
"Ft Worth, TX",,,,,,,,,,,,,,
"Houston, TX",,,,,,,,,,,,,,
"Irving, TX",,,,,,,,,,,,,,
"Lubbock, TX",,,,,,,,,,,,,,
"Plano, TX",,,,,,,,,,,,,,
"San Antonio, TX",,,,,,,,,,,,,,
"Salt Lake City, UT",,,,,,,,,,,,,,
"Arlington, VA",,,,,,,,,,,,,,
"Norfolk, VA",,,,,,,,,,,,,,
"Reston, VA",,,,,,,,,,,,,,
"Richmond, VA",,,,,,,,,,,,,,
"Bellevue, WA",,,,,,,,,,,,,,
"Seattle, WA",,,,,,,,,,,,,,
"Spokane, WA",,,,,,,,,,,,,,
"Madison, WI",,,,,,,,,,,,,,
"Milwaukee, WI",,,,,,,,,,,,,,
