Month,Geo: Austin TX,Geo: Boston MA,Geo: Chicago IL,Geo: Houston TX,Geo: Los Angeles CA,Geo: Miami-Ft. Lauderdale FL,Geo: New York NY,Geo: Philadelphia PA,Geo: Phoenix AZ,Geo: San Francisco-Oakland-San Jose CA,Geo: Seattle-Tacoma WA,Geo: Buffalo NY
2004-01,40,80,47,15,31,21,44,49,46,28,39,36
2004-02,40,58,48,31,30,27,37,39,45,26,48,72
2004-03,23,58,37,21,26,17,33,50,32,10,38,59
2004-04,23,44,21,15,26,33,32,34,27,21,41,11
2004-05,12,44,24,13,16,6,23,18,20,11,18,0
2004-06,14,32,15,16,22,28,20,31,22,9,28,30
2004-07,22,32,14,10,15,32,20,10,15,10,17,21
2004-08,21,46,23,17,22,22,21,19,32,10,25,48
2004-09,21,42,27,25,20,20,25,18,16,13,30,44
2004-10,39,52,29,12,30,39,42,45,22,13,48,0
2004-11,35,50,32,19,26,26,34,25,33,13,50,18
2004-12,38,58,40,23,38,38,53,51,44,20,44,25
2005-01,48,86,41,26,34,31,49,55,35,19,53,44
2005-02,63,74,48,30,45,31,46,67,57,21,63,39
2005-03,34,52,45,16,28,35,39,55,45,20,49,39
2005-04,35,50,41,21,34,52,33,37,28,15,34,29
2005-05,29,42,29,16,20,14,25,23,22,15,29,19
2005-06,20,46,24,16,21,16,24,21,28,10,30,6
2005-07,12,33,18,14,22,33,24,15,39,11,21,33
2005-08,20,43,19,21,22,34,22,20,36,9,24,13
2005-09,49,60,47,21,42,34,41,43,41,21,46,34
2005-10,73,100,90,58,77,89,88,77,71,37,100,97
2005-11,54,84,60,43,57,44,64,72,55,30,72,16
2005-12,50,65,44,27,43,35,48,53,71,25,57,37
2006-01,54,69,55,26,34,46,51,54,61,20,57,60
2006-02,45,69,47,28,29,42,45,52,48,19,53,28
2006-03,40,72,55,23,38,54,51,61,46,23,56,40
2006-04,32,53,49,27,27,27,35,32,40,16,38,22
2006-05,27,53,43,12,34,25,38,45,36,19,37,32
2006-06,20,39,27,15,20,22,30,29,27,12,31,38
2006-07,13,35,28,11,18,25,23,17,19,10,14,17
2006-08,25,36,22,14,19,16,22,22,26,9,18,4
2006-09,21,46,36,16,18,27,27,35,33,9,23,34
2006-10,23,45,43,17,27,21,32,34,35,13,27,20
2006-11,31,48,33,22,28,34,34,44,42,17,33,30
2006-12,29,57,39,23,39,38,38,41,51,15,43,38
2007-01,36,62,34,21,31,30,40,51,48,17,40,21
2007-02,49,50,43,34,39,41,41,52,36,16,62,28
2007-03,32,44,32,15,29,33,32,33,29,12,32,27
2007-04,21,38,25,18,22,29,27,37,28,10,26,20
2007-05,19,32,21,15,19,22,24,19,23,10,26,5
2007-06,19,28,20,10,21,32,18,22,16,9,19,8
2007-07,14,27,17,12,18,19,20,25,18,9,16,10
2007-08,13,30,18,10,17,21,20,24,21,9,21,17
2007-09,20,36,23,12,20,22,24,29,26,12,16,16
2007-10,26,39,28,11,23,23,30,32,29,15,29,13
2007-11,27,42,30,13,24,30,32,38,27,16,27,6
2007-12,19,41,34,13,31,29,38,41,34,17,30,13
2008-01,36,44,32,27,37,35,42,41,35,23,34,17
2008-02,52,62,51,22,42,30,47,64,44,22,37,26
2008-03,21,44,29,14,28,35,35,44,36,15,31,13
2008-04,20,31,23,12,24,24,26,30,27,15,26,11
2008-05,17,31,23,10,16,21,25,23,20,13,22,7
2008-06,10,22,16,7,15,20,18,22,16,11,19,5
2008-07,11,22,15,9,17,17,16,22,14,9,16,4
2008-08,11,24,17,8,15,20,18,20,16,10,12,2
2008-09,12,26,16,8,19,25,25,27,20,11,15,15
2008-10,18,32,24,11,24,22,30,26,24,13,21,13
2008-11,18,33,25,16,20,24,31,32,24,14,26,6
2008-12,22,36,21,17,26,39,35,34,27,14,23,19
2009-01,25,35,24,19,28,31,32,37,28,16,20,17
2009-02,28,45,30,18,28,30,34,42,29,15,32,24
2009-03,19,32,29,14,23,27,27,32,26,15,28,15
2009-04,55,55,55,41,67,75,73,62,68,100,63,44
2009-05,35,55,40,31,43,60,61,52,46,97,55,31
2009-06,15,35,22,11,23,40,46,35,24,69,21,17
2009-07,11,25,18,14,22,32,25,29,23,68,18,13
2009-08,19,31,22,15,24,32,27,28,28,79,22,16
2009-09,51,48,34,30,34,49,44,48,42,45,40,38
2009-10,62,86,86,39,74,60,75,100,93,61,87,60
