Month,flu contagious: (Boston MA-Manchester NH),flu fever: (Boston MA-Manchester NH),flu contagious: (California),flu fever: (California),flu contagious: (Chicago IL),flu fever: (Chicago IL),flu contagious: (Houston TX),flu fever: (Houston TX),flu contagious: (Illinois),flu fever: (Illinois),flu contagious: (Massachusetts),flu fever: (Massachusetts),flu contagious: (New York),flu fever: (New York),flu contagious: (New York NY),flu fever: (New York NY),flu contagious: (Pennsylvania),flu fever: (Pennsylvania),flu contagious: (Philadelphia PA),flu fever: (Philadelphia PA),flu contagious: (San Francisco-Oakland-San Jose CA),flu fever: (San Francisco-Oakland-San Jose CA),flu contagious: (Texas),flu fever: (Texas),flu contagious: (United States),flu fever: (United States)
2009-01,4,9,7,12,20,10,7,7,7,17,10,10,8,21,5,13,11,9,11,7,7,5,7,13,8,10
2009-02,9,5,5,14,0,4,7,7,4,4,5,21,7,15,7,26,21,27,8,19,9,11,19,10,10,14
2009-03,0,12,8,10,7,7,0,19,6,6,19,19,10,8,6,14,11,22,7,11,0,6,1,9,6,13
2009-04,4,13,8,16,7,13,7,13,20,29,0,29,8,29,5,29,9,9,15,19,7,9,4,21,7,18
2009-05,31,35,6,24,14,17,13,39,3,24,10,30,16,55,8,55,9,24,11,19,5,18,6,14,7,26
2009-06,17,26,8,14,3,21,0,13,7,14,25,45,28,26,28,38,6,9,8,27,3,10,2,5,8,16
2009-07,4,4,4,14,11,18,0,7,7,11,10,36,0,23,0,14,3,16,8,16,4,8,2,11,6,14
2009-08,4,13,10,13,4,11,0,0,0,4,0,15,6,23,5,16,3,12,8,8,9,6,6,6,7,16
2009-09,4,46,17,24,14,24,20,81,3,17,14,48,16,22,8,34,6,23,7,22,17,21,18,57,21,38
2009-10,35,90,28,58,41,79,19,57,50,93,53,80,37,70,26,56,46,100,38,100,17,23,40,59,46,72
2009-11,70,100,19,38,50,63,7,7,36,52,75,100,69,98,59,76,34,45,40,51,13,25,12,28,29,43
2009-12,18,39,13,13,7,20,7,7,3,39,16,33,19,42,4,32,14,25,4,54,10,8,11,14,11,21
2010-01,0,14,6,11,3,6,6,12,6,3,12,32,18,32,17,21,5,8,3,14,2,8,4,7,8,14
2010-02,4,19,6,9,19,13,7,7,18,12,4,8,15,17,13,17,11,11,4,4,2,3,3,8,7,11
2010-03,20,10,3,5,3,3,6,18,6,3,8,11,7,7,5,5,3,13,7,10,2,1,5,4,6,8
2010-04,0,7,6,3,3,3,0,0,6,3,0,4,4,14,1,11,5,8,10,3,1,4,4,6,3,7
2010-05,0,11,2,5,0,0,0,7,6,3,4,8,2,9,6,8,0,9,4,7,0,2,4,8,2,6
2010-06,0,0,2,4,0,10,0,14,3,13,0,13,0,6,0,3,6,9,4,8,1,1,5,3,2,5
2010-07,3,7,3,5,3,0,0,0,0,0,0,8,0,4,0,3,3,0,4,7,2,2,4,5,2,3
2010-08,0,17,2,5,3,9,0,0,6,3,8,8,0,5,0,4,0,0,0,4,1,2,0,4,1,5
2010-09,3,13,1,4,3,3,6,19,0,6,0,4,7,7,4,8,0,3,0,3,1,4,3,9,3,7
2010-10,6,19,3,12,9,3,12,6,6,3,4,14,3,23,4,13,5,13,3,10,1,4,1,9,5,9
2010-11,13,20,7,8,17,17,6,12,20,8,11,26,8,25,5,25,0,5,7,3,1,3,0,8,6,11
2010-12,10,6,9,11,17,6,6,12,14,6,18,7,21,24,13,17,10,10,23,16,3,5,6,11,11,14
2011-01,12,14,14,24,13,23,14,18,14,26,8,25,26,35,24,29,9,25,15,20,10,22,12,19,16,20
2011-02,12,14,18,33,10,32,31,33,14,37,8,46,21,40,13,39,29,24,19,21,25,34,17,26,20,31
2011-03,4,8,14,18,13,20,6,13,14,15,29,14,16,15,16,17,5,18,4,15,19,23,5,14,13,15
2011-04,7,4,6,8,3,7,4,9,4,8,5,7,7,15,6,8,1,3,2,9,9,12,2,5,5,8
2011-05,0,9,5,12,1,6,2,5,1,6,7,2,3,9,7,7,3,0,2,14,6,13,1,1,4,6
2011-06,0,2,5,7,1,3,0,11,2,5,2,10,1,8,2,8,0,7,2,7,6,10,1,5,3,6
2011-07,0,0,4,8,6,5,0,7,5,6,0,0,0,4,1,4,3,6,2,5,7,6,2,5,3,5
2011-08,0,4,3,9,1,1,0,4,1,7,2,2,0,6,2,5,0,9,0,4,5,7,1,4,2,5
2011-09,2,8,7,11,2,4,9,7,3,5,7,7,4,8,3,6,3,5,0,13,8,8,2,9,4,9
2011-10,8,20,6,17,2,16,9,15,7,12,2,33,5,22,6,26,1,17,4,12,4,18,5,13,5,15
2011-11,4,10,11,12,6,10,2,12,15,8,4,13,7,23,7,11,6,11,12,17,7,13,6,12,7,13
2011-12,6,11,17,9,14,7,2,10,11,10,6,19,6,18,9,13,9,15,6,17,24,10,5,7,13,13
2012-01,13,17,16,17,13,18,6,9,16,19,13,9,8,15,13,15,7,18,3,10,12,18,3,8,10,12
2012-02,20,5,11,18,5,18,12,10,21,24,13,11,9,15,10,18,14,5,14,3,6,12,7,10,12,14
2012-03,8,5,9,17,9,18,15,11,5,12,9,11,10,15,8,16,7,11,3,10,10,15,9,14,10,15
2012-04,2,7,11,12,7,4,6,4,9,5,6,12,5,15,7,11,3,7,4,11,9,12,4,10,7,11
2012-05,8,14,6,9,4,4,5,14,5,9,10,7,3,12,3,10,6,11,7,8,8,12,1,6,4,8
2012-06,3,5,5,8,3,2,2,8,5,4,4,9,5,11,4,9,1,2,2,8,3,8,3,4,4,7
2012-07,0,8,8,5,4,3,5,15,3,3,4,9,3,9,3,8,1,4,2,0,7,4,2,6,3,6
2012-08,4,7,4,5,2,7,3,7,2,8,7,12,2,7,2,9,1,7,4,9,4,8,1,4,3,7
2012-09,3,13,8,13,2,8,8,18,6,6,7,8,3,12,2,8,3,11,8,8,4,16,6,10,6,10
2012-10,1,14,11,16,6,13,11,5,12,11,11,12,12,11,8,10,5,9,6,17,12,19,6,8,8,13
2012-11,9,9,20,20,14,15,13,18,11,17,9,18,6,20,3,10,3,13,2,15,12,11,10,12,12,15
2012-12,40,32,17,16,31,38,28,24,42,35,26,35,44,50,24,35,22,22,22,35,15,14,30,25,34,33
2013-01,68,62,45,56,50,54,26,40,47,42,95,95,76,89,76,70,62,63,75,86,52,54,44,61,55,59
2013-02,25,33,34,38,29,33,5,16,39,26,20,42,30,33,26,39,31,24,32,42,31,32,14,19,24,27
2013-03,8,17,16,20,10,18,5,10,13,19,6,14,18,26,14,24,14,15,13,21,11,10,8,11,15,20
2013-04,7,11,8,13,16,10,6,9,12,7,8,9,5,14,5,10,5,14,1,13,8,23,4,9,7,12
2013-05,0,8,4,9,8,8,3,7,6,4,7,7,4,12,4,7,4,4,0,8,4,14,2,2,4,8
2013-06,1,7,5,10,3,4,3,1,2,6,2,2,0,8,1,7,0,3,2,5,6,8,2,3,3,6
2013-07,3,4,3,5,4,5,4,2,4,3,3,8,1,5,2,6,5,4,0,3,1,6,2,3,3,5
2013-08,1,4,5,5,3,5,0,2,2,5,2,13,3,9,2,9,0,4,1,3,6,8,2,3,3,6
2013-09,3,9,8,11,6,13,0,9,3,12,3,5,5,9,6,6,3,8,0,4,9,8,1,9,4,10
2013-10,10,15,8,21,5,11,4,7,5,11,3,14,5,21,8,22,3,13,5,16,17,17,4,9,7,16
2013-11,1,9,17,16,9,15,30,16,9,19,6,19,5,13,7,15,7,17,5,15,15,13,8,12,10,15
2013-12,12,32,20,28,21,30,48,37,26,29,21,29,25,23,20,22,17,12,16,9,27,33,38,28,26,25
2014-01,29,41,44,44,25,26,22,28,27,24,34,37,34,36,31,33,30,32,28,22,51,54,35,40,37,37
2014-02,13,22,16,22,12,18,7,19,15,15,26,38,22,23,17,21,17,18,24,31,10,16,8,16,17,22
2014-03,18,27,10,14,6,17,9,9,6,20,12,21,23,29,17,28,10,13,15,24,10,10,9,11,11,16
2014-04,9,12,6,12,10,8,0,11,14,16,18,15,21,22,17,24,11,12,11,19,7,5,4,8,8,14
2014-05,6,17,10,9,8,9,7,14,7,12,5,7,6,12,7,11,3,5,3,3,8,12,3,8,5,9
2014-06,4,7,3,9,3,4,0,4,3,4,2,6,3,10,2,9,0,7,3,10,6,7,1,5,3,7
2014-07,2,10,5,6,2,7,6,4,3,13,2,10,1,7,0,3,0,6,0,9,8,7,2,4,2,6
2014-08,0,2,4,6,3,9,2,4,6,11,2,6,2,5,2,5,0,4,3,8,7,2,1,6,3,7
2014-09,3,13,6,10,5,11,2,7,10,11,2,14,7,10,6,8,4,14,5,10,5,15,3,7,5,10
2014-10,13,24,10,21,11,19,10,19,12,24,8,15,8,30,13,23,2,22,9,18,13,20,7,14,9,19
2014-11,10,9,15,15,16,20,13,20,21,37,5,13,12,24,11,20,7,13,11,14,12,12,18,16,13,18
2014-12,33,18,24,23,53,39,49,45,68,52,32,35,63,41,46,34,57,41,58,54,30,31,53,43,55,41
2015-01,72,53,42,42,19,24,29,34,23,29,48,39,64,59,59,54,59,46,46,42,50,45,33,27,43,43
2015-02,35,28,25,35,12,9,20,24,22,19,33,24,35,36,32,27,23,27,37,28,23,22,22,24,27,27
2015-03,18,26,15,24,22,20,16,10,26,25,23,20,25,25,17,19,15,23,18,24,14,23,12,15,18,20
2015-04,8,15,9,16,8,14,3,5,16,14,22,22,12,17,8,13,12,14,7,13,9,21,5,8,10,14
2015-05,2,16,10,11,3,8,0,3,4,8,12,6,3,9,3,9,2,13,7,14,4,7,3,5,5,9
