Category: All categories

Month,flu contagious: (California),flu fever: (California)
2009-01,7,12
2009-02,5,14
2009-03,8,10
2009-04,8,16
2009-05,6,24
2009-06,8,14
2009-07,4,14
2009-08,10,13
2009-09,17,24
2009-10,28,58
2009-11,19,38
2009-12,13,13
2010-01,6,11
2010-02,6,9
2010-03,3,5
2010-04,6,3
2010-05,2,5
2010-06,2,4
2010-07,3,5
2010-08,2,5
2010-09,1,4
2010-10,3,12
2010-11,7,8
2010-12,9,11
2011-01,14,24
2011-02,18,33
2011-03,14,18
2011-04,6,8
2011-05,5,12
2011-06,5,7
2011-07,4,8
2011-08,3,9
2011-09,7,11
2011-10,6,17
2011-11,11,12
2011-12,17,9
2012-01,16,17
2012-02,11,18
2012-03,9,17
2012-04,11,12
2012-05,6,9
2012-06,5,8
2012-07,8,5
2012-08,4,5
2012-09,8,13
2012-10,11,16
2012-11,20,20
2012-12,17,16
2013-01,45,56
2013-02,34,38
2013-03,16,20
2013-04,8,13
2013-05,4,9
2013-06,5,10
2013-07,3,5
2013-08,5,5
2013-09,8,11
2013-10,8,21
2013-11,17,16
2013-12,20,28
2014-01,44,44
2014-02,16,22
2014-03,10,14
2014-04,6,12
2014-05,10,9
2014-06,3,9
2014-07,5,6
2014-08,4,6
2014-09,6,10
2014-10,10,21
2014-11,15,15
2014-12,24,23
2015-01,42,42
2015-02,25,35
2015-03,15,24
2015-04,9,16
2015-05,10,11
2015-06,5,9
2015-07,5,11
2015-08,6,8
2015-09,4,13
2015-10,10,17
2015-11,11,20
2015-12,24,24
2016-01,15,21
2016-02,22,32
2016-03,15,24
2016-04,9,14
2016-05,5,14
2016-06,6,11
2016-07,4,9
2016-08,4,7
2016-09,7,12
2016-10,8,15
2016-11,13,17
2016-12,22,26
2017-01,22,36
2017-02,16,26
2017-03,14,18
2017-04,13,19
2017-05,12,13
2017-06,7,13
2017-07,6,9
2017-08,4,10
2017-09,6,14
2017-10,12,19
2017-11,16,19
2017-12,37,54
2018-01,80,100
