Category: All categories

Month,flu contagious: (Chicago IL),flu fever: (Chicago IL)
2009-01,20,10
2009-02,0,4
2009-03,7,7
2009-04,7,13
2009-05,14,17
2009-06,3,21
2009-07,11,18
2009-08,4,11
2009-09,14,24
2009-10,41,79
2009-11,50,63
2009-12,7,20
2010-01,3,6
2010-02,19,13
2010-03,3,3
2010-04,3,3
2010-05,0,0
2010-06,0,10
2010-07,3,0
2010-08,3,9
2010-09,3,3
2010-10,9,3
2010-11,17,17
2010-12,17,6
2011-01,13,23
2011-02,10,32
2011-03,13,20
2011-04,3,7
2011-05,1,6
2011-06,1,3
2011-07,6,5
2011-08,1,1
2011-09,2,4
2011-10,2,16
2011-11,6,10
2011-12,14,7
2012-01,13,18
2012-02,5,18
2012-03,9,18
2012-04,7,4
2012-05,4,4
2012-06,3,2
2012-07,4,3
2012-08,2,7
2012-09,2,8
2012-10,6,13
2012-11,14,15
2012-12,31,38
2013-01,50,54
2013-02,29,33
2013-03,10,18
2013-04,16,10
2013-05,8,8
2013-06,3,4
2013-07,4,5
2013-08,3,5
2013-09,6,13
2013-10,5,11
2013-11,9,15
2013-12,21,30
2014-01,25,26
2014-02,12,18
2014-03,6,17
2014-04,10,8
2014-05,8,9
2014-06,3,4
2014-07,2,7
2014-08,3,9
2014-09,5,11
2014-10,11,19
2014-11,16,20
2014-12,53,39
2015-01,19,24
2015-02,12,9
2015-03,22,20
2015-04,8,14
2015-05,3,8
2015-06,2,10
2015-07,1,8
2015-08,1,7
2015-09,2,8
2015-10,3,17
2015-11,11,20
2015-12,13,12
2016-01,10,14
2016-02,25,24
2016-03,11,32
2016-04,6,14
2016-05,4,5
2016-06,3,9
2016-07,3,2
2016-08,1,10
2016-09,2,8
2016-10,2,13
2016-11,11,19
2016-12,24,12
2017-01,27,22
2017-02,35,42
2017-03,12,35
2017-04,10,10
2017-05,4,8
2017-06,5,7
2017-07,2,10
2017-08,3,8
2017-09,5,12
2017-10,9,14
2017-11,14,14
2017-12,38,35
2018-01,80,100
