Category: All categories

Month,flu contagious: (Houston TX),flu fever: (Houston TX)
2009-01,7,7
2009-02,7,7
2009-03,0,19
2009-04,7,13
2009-05,13,39
2009-06,0,13
2009-07,0,7
2009-08,0,0
2009-09,20,81
2009-10,19,57
2009-11,7,7
2009-12,7,7
2010-01,6,12
2010-02,7,7
2010-03,6,18
2010-04,0,0
2010-05,0,7
2010-06,0,14
2010-07,0,0
2010-08,0,0
2010-09,6,19
2010-10,12,6
2010-11,6,12
2010-12,6,12
2011-01,14,18
2011-02,31,33
2011-03,6,13
2011-04,4,9
2011-05,2,5
2011-06,0,11
2011-07,0,7
2011-08,0,4
2011-09,9,7
2011-10,9,15
2011-11,2,12
2011-12,2,10
2012-01,6,9
2012-02,12,10
2012-03,15,11
2012-04,6,4
2012-05,5,14
2012-06,2,8
2012-07,5,15
2012-08,3,7
2012-09,8,18
2012-10,11,5
2012-11,13,18
2012-12,28,24
2013-01,26,40
2013-02,5,16
2013-03,5,10
2013-04,6,9
2013-05,3,7
2013-06,3,1
2013-07,4,2
2013-08,0,2
2013-09,0,9
2013-10,4,7
2013-11,30,16
2013-12,48,37
2014-01,22,28
2014-02,7,19
2014-03,9,9
2014-04,0,11
2014-05,7,14
2014-06,0,4
2014-07,6,4
2014-08,2,4
2014-09,2,7
2014-10,10,19
2014-11,13,20
2014-12,49,45
2015-01,29,34
2015-02,20,24
2015-03,16,10
2015-04,3,5
2015-05,0,3
2015-06,5,2
2015-07,1,8
2015-08,5,4
2015-09,4,12
2015-10,4,12
2015-11,3,14
2015-12,8,20
2016-01,5,10
2016-02,14,21
2016-03,24,26
2016-04,14,16
2016-05,7,13
2016-06,6,10
2016-07,2,6
2016-08,1,7
2016-09,7,8
2016-10,8,18
2016-11,8,17
2016-12,11,20
2017-01,19,19
2017-02,30,38
2017-03,19,26
2017-04,16,10
2017-05,4,9
2017-06,4,10
2017-07,4,11
2017-08,2,7
2017-09,4,7
2017-10,7,19
2017-11,21,27
2017-12,90,61
2018-01,100,96
