Category: All categories

Month,flu contagious: (Illinois),flu fever: (Illinois)
2009-01,7,17
2009-02,4,4
2009-03,6,6
2009-04,20,29
2009-05,3,24
2009-06,7,14
2009-07,7,11
2009-08,0,4
2009-09,3,17
2009-10,50,93
2009-11,36,52
2009-12,3,39
2010-01,6,3
2010-02,18,12
2010-03,6,3
2010-04,6,3
2010-05,6,3
2010-06,3,13
2010-07,0,0
2010-08,6,3
2010-09,0,6
2010-10,6,3
2010-11,20,8
2010-12,14,6
2011-01,14,26
2011-02,14,37
2011-03,14,15
2011-04,4,8
2011-05,1,6
2011-06,2,5
2011-07,5,6
2011-08,1,7
2011-09,3,5
2011-10,7,12
2011-11,15,8
2011-12,11,10
2012-01,16,19
2012-02,21,24
2012-03,5,12
2012-04,9,5
2012-05,5,9
2012-06,5,4
2012-07,3,3
2012-08,2,8
2012-09,6,6
2012-10,12,11
2012-11,11,17
2012-12,42,35
2013-01,47,42
2013-02,39,26
2013-03,13,19
2013-04,12,7
2013-05,6,4
2013-06,2,6
2013-07,4,3
2013-08,2,5
2013-09,3,12
2013-10,5,11
2013-11,9,19
2013-12,26,29
2014-01,27,24
2014-02,15,15
2014-03,6,20
2014-04,14,16
2014-05,7,12
2014-06,3,4
2014-07,3,13
2014-08,6,11
2014-09,10,11
2014-10,12,24
2014-11,21,37
2014-12,68,52
2015-01,23,29
2015-02,22,19
2015-03,26,25
2015-04,16,14
2015-05,4,8
2015-06,7,4
2015-07,3,8
2015-08,4,9
2015-09,5,6
2015-10,7,18
2015-11,10,12
2015-12,20,16
2016-01,17,18
2016-02,27,25
2016-03,18,31
2016-04,8,12
2016-05,3,9
2016-06,3,10
2016-07,1,5
2016-08,4,9
2016-09,6,11
2016-10,3,15
2016-11,12,14
2016-12,26,16
2017-01,33,22
2017-02,44,37
2017-03,18,30
2017-04,10,12
2017-05,5,10
2017-06,9,9
2017-07,4,9
2017-08,3,5
2017-09,7,10
2017-10,11,16
2017-11,18,20
2017-12,52,34
2018-01,79,100
