Category: All categories

Month,flu contagious: (Massachusetts),flu fever: (Massachusetts)
2009-01,10,10
2009-02,5,21
2009-03,19,19
2009-04,0,29
2009-05,10,30
2009-06,25,45
2009-07,10,36
2009-08,0,15
2009-09,14,48
2009-10,53,80
2009-11,75,100
2009-12,16,33
2010-01,12,32
2010-02,4,8
2010-03,8,11
2010-04,0,4
2010-05,4,8
2010-06,0,13
2010-07,0,8
2010-08,8,8
2010-09,0,4
2010-10,4,14
2010-11,11,26
2010-12,18,7
2011-01,8,25
2011-02,8,46
2011-03,29,14
2011-04,5,7
2011-05,7,2
2011-06,2,10
2011-07,0,0
2011-08,2,2
2011-09,7,7
2011-10,2,33
2011-11,4,13
2011-12,6,19
2012-01,13,9
2012-02,13,11
2012-03,9,11
2012-04,6,12
2012-05,10,7
2012-06,4,9
2012-07,4,9
2012-08,7,12
2012-09,7,8
2012-10,11,12
2012-11,9,18
2012-12,26,35
2013-01,95,95
2013-02,20,42
2013-03,6,14
2013-04,8,9
2013-05,7,7
2013-06,2,2
2013-07,3,8
2013-08,2,13
2013-09,3,5
2013-10,3,14
2013-11,6,19
2013-12,21,29
2014-01,34,37
2014-02,26,38
2014-03,12,21
2014-04,18,15
2014-05,5,7
2014-06,2,6
2014-07,2,10
2014-08,2,6
2014-09,2,14
2014-10,8,15
2014-11,5,13
2014-12,32,35
2015-01,48,39
2015-02,33,24
2015-03,23,20
2015-04,22,22
2015-05,12,6
2015-06,2,10
2015-07,4,8
2015-08,2,6
2015-09,4,22
2015-10,6,13
2015-11,12,19
2015-12,11,26
2016-01,12,18
2016-02,11,21
2016-03,51,44
2016-04,23,18
2016-05,8,12
2016-06,4,13
2016-07,1,4
2016-08,0,4
2016-09,3,17
2016-10,10,18
2016-11,7,11
2016-12,17,21
2017-01,38,34
2017-02,62,48
2017-03,20,31
2017-04,35,33
2017-05,10,18
2017-06,2,18
2017-07,3,5
2017-08,3,1
2017-09,7,11
2017-10,15,19
2017-11,8,22
2017-12,40,44
2018-01,94,77
