Category: All categories

Month,flu contagious: (New York),flu fever: (New York)
2009-01,8,21
2009-02,7,15
2009-03,10,8
2009-04,8,29
2009-05,16,55
2009-06,28,26
2009-07,0,23
2009-08,6,23
2009-09,16,22
2009-10,37,70
2009-11,69,98
2009-12,19,42
2010-01,18,32
2010-02,15,17
2010-03,7,7
2010-04,4,14
2010-05,2,9
2010-06,0,6
2010-07,0,4
2010-08,0,5
2010-09,7,7
2010-10,3,23
2010-11,8,25
2010-12,21,24
2011-01,26,35
2011-02,21,40
2011-03,16,15
2011-04,7,15
2011-05,3,9
2011-06,1,8
2011-07,0,4
2011-08,0,6
2011-09,4,8
2011-10,5,22
2011-11,7,23
2011-12,6,18
2012-01,8,15
2012-02,9,15
2012-03,10,15
2012-04,5,15
2012-05,3,12
2012-06,5,11
2012-07,3,9
2012-08,2,7
2012-09,3,12
2012-10,12,11
2012-11,6,20
2012-12,44,50
2013-01,76,89
2013-02,30,33
2013-03,18,26
2013-04,5,14
2013-05,4,12
2013-06,0,8
2013-07,1,5
2013-08,3,9
2013-09,5,9
2013-10,5,21
2013-11,5,13
2013-12,25,23
2014-01,34,36
2014-02,22,23
2014-03,23,29
2014-04,21,22
2014-05,6,12
2014-06,3,10
2014-07,1,7
2014-08,2,5
2014-09,7,10
2014-10,8,30
2014-11,12,24
2014-12,63,41
2015-01,64,59
2015-02,35,36
2015-03,25,25
2015-04,12,17
2015-05,3,9
2015-06,3,7
2015-07,4,12
2015-08,3,5
2015-09,6,14
2015-10,11,17
2015-11,7,25
2015-12,10,24
2016-01,13,19
2016-02,41,32
2016-03,48,44
2016-04,21,31
2016-05,10,15
2016-06,5,9
2016-07,3,6
2016-08,2,14
2016-09,5,18
2016-10,13,20
2016-11,13,20
2016-12,25,33
2017-01,49,56
2017-02,51,50
2017-03,17,33
2017-04,21,30
2017-05,9,12
2017-06,5,10
2017-07,7,12
2017-08,4,10
2017-09,8,17
2017-10,12,26
2017-11,19,30
2017-12,39,48
2018-01,99,100
