Category: All categories

Month,flu contagious: (New York NY),flu fever: (New York NY)
2009-01,5,13
2009-02,7,26
2009-03,6,14
2009-04,5,29
2009-05,8,55
2009-06,28,38
2009-07,0,14
2009-08,5,16
2009-09,8,34
2009-10,26,56
2009-11,59,76
2009-12,4,32
2010-01,17,21
2010-02,13,17
2010-03,5,5
2010-04,1,11
2010-05,6,8
2010-06,0,3
2010-07,0,3
2010-08,0,4
2010-09,4,8
2010-10,4,13
2010-11,5,25
2010-12,13,17
2011-01,24,29
2011-02,13,39
2011-03,16,17
2011-04,6,8
2011-05,7,7
2011-06,2,8
2011-07,1,4
2011-08,2,5
2011-09,3,6
2011-10,6,26
2011-11,7,11
2011-12,9,13
2012-01,13,15
2012-02,10,18
2012-03,8,16
2012-04,7,11
2012-05,3,10
2012-06,4,9
2012-07,3,8
2012-08,2,9
2012-09,2,8
2012-10,8,10
2012-11,3,10
2012-12,24,35
2013-01,76,70
2013-02,26,39
2013-03,14,24
2013-04,5,10
2013-05,4,7
2013-06,1,7
2013-07,2,6
2013-08,2,9
2013-09,6,6
2013-10,8,22
2013-11,7,15
2013-12,20,22
2014-01,31,33
2014-02,17,21
2014-03,17,28
2014-04,17,24
2014-05,7,11
2014-06,2,9
2014-07,0,3
2014-08,2,5
2014-09,6,8
2014-10,13,23
2014-11,11,20
2014-12,46,34
2015-01,59,54
2015-02,32,27
2015-03,17,19
2015-04,8,13
2015-05,3,9
2015-06,2,10
2015-07,3,8
2015-08,2,6
2015-09,3,11
2015-10,7,20
2015-11,7,24
2015-12,11,23
2016-01,12,21
2016-02,33,30
2016-03,45,39
2016-04,20,26
2016-05,8,12
2016-06,3,11
2016-07,2,7
2016-08,2,11
2016-09,7,15
2016-10,12,19
2016-11,10,14
2016-12,27,21
2017-01,44,49
2017-02,45,45
2017-03,22,30
2017-04,15,27
2017-05,5,12
2017-06,6,8
2017-07,4,8
2017-08,4,14
2017-09,5,17
2017-10,11,22
2017-11,13,27
2017-12,31,44
2018-01,91,100
