Category: All categories

Month,flu contagious: (Pennsylvania),flu fever: (Pennsylvania)
2009-01,11,9
2009-02,21,27
2009-03,11,22
2009-04,9,9
2009-05,9,24
2009-06,6,9
2009-07,3,16
2009-08,3,12
2009-09,6,23
2009-10,46,100
2009-11,34,45
2009-12,14,25
2010-01,5,8
2010-02,11,11
2010-03,3,13
2010-04,5,8
2010-05,0,9
2010-06,6,9
2010-07,3,0
2010-08,0,0
2010-09,0,3
2010-10,5,13
2010-11,0,5
2010-12,10,10
2011-01,9,25
2011-02,29,24
2011-03,5,18
2011-04,1,3
2011-05,3,0
2011-06,0,7
2011-07,3,6
2011-08,0,9
2011-09,3,5
2011-10,1,17
2011-11,6,11
2011-12,9,15
2012-01,7,18
2012-02,14,5
2012-03,7,11
2012-04,3,7
2012-05,6,11
2012-06,1,2
2012-07,1,4
2012-08,1,7
2012-09,3,11
2012-10,5,9
2012-11,3,13
2012-12,22,22
2013-01,62,63
2013-02,31,24
2013-03,14,15
2013-04,5,14
2013-05,4,4
2013-06,0,3
2013-07,5,4
2013-08,0,4
2013-09,3,8
2013-10,3,13
2013-11,7,17
2013-12,17,12
2014-01,30,32
2014-02,17,18
2014-03,10,13
2014-04,11,12
2014-05,3,5
2014-06,0,7
2014-07,0,6
2014-08,0,4
2014-09,4,14
2014-10,2,22
2014-11,7,13
2014-12,57,41
2015-01,59,46
2015-02,23,27
2015-03,15,23
2015-04,12,14
2015-05,2,13
2015-06,1,8
2015-07,3,6
2015-08,5,2
2015-09,2,13
2015-10,4,14
2015-11,8,10
2015-12,10,22
2016-01,8,22
2016-02,9,24
2016-03,32,35
2016-04,18,11
2016-05,5,9
2016-06,2,10
2016-07,2,5
2016-08,3,7
2016-09,2,6
2016-10,6,10
2016-11,7,18
2016-12,22,15
2017-01,36,28
2017-02,36,42
2017-03,30,24
2017-04,9,19
2017-05,2,11
2017-06,1,4
2017-07,2,7
2017-08,3,5
2017-09,1,11
2017-10,11,16
2017-11,6,20
2017-12,30,30
2018-01,87,68
