Category: All categories

Month,flu contagious: (Philadelphia PA),flu fever: (Philadelphia PA)
2009-01,11,7
2009-02,8,19
2009-03,7,11
2009-04,15,19
2009-05,11,19
2009-06,8,27
2009-07,8,16
2009-08,8,8
2009-09,7,22
2009-10,38,100
2009-11,40,51
2009-12,4,54
2010-01,3,14
2010-02,4,4
2010-03,7,10
2010-04,10,3
2010-05,4,7
2010-06,4,8
2010-07,4,7
2010-08,0,4
2010-09,0,3
2010-10,3,10
2010-11,7,3
2010-12,23,16
2011-01,15,20
2011-02,19,21
2011-03,4,15
2011-04,2,9
2011-05,2,14
2011-06,2,7
2011-07,2,5
2011-08,0,4
2011-09,0,13
2011-10,4,12
2011-11,12,17
2011-12,6,17
2012-01,3,10
2012-02,14,3
2012-03,3,10
2012-04,4,11
2012-05,7,8
2012-06,2,8
2012-07,2,0
2012-08,4,9
2012-09,8,8
2012-10,6,17
2012-11,2,15
2012-12,22,35
2013-01,75,86
2013-02,32,42
2013-03,13,21
2013-04,1,13
2013-05,0,8
2013-06,2,5
2013-07,0,3
2013-08,1,3
2013-09,0,4
2013-10,5,16
2013-11,5,15
2013-12,16,9
2014-01,28,22
2014-02,24,31
2014-03,15,24
2014-04,11,19
2014-05,3,3
2014-06,3,10
2014-07,0,9
2014-08,3,8
2014-09,5,10
2014-10,9,18
2014-11,11,14
2014-12,58,54
2015-01,46,42
2015-02,37,28
2015-03,18,24
2015-04,7,13
2015-05,7,14
2015-06,0,13
2015-07,2,0
2015-08,2,4
2015-09,2,20
2015-10,8,22
2015-11,9,31
2015-12,18,25
2016-01,10,20
2016-02,10,14
2016-03,22,39
2016-04,13,16
2016-05,7,7
2016-06,3,5
2016-07,1,4
2016-08,7,7
2016-09,0,15
2016-10,6,17
2016-11,12,19
2016-12,14,18
2017-01,28,39
2017-02,48,35
2017-03,24,33
2017-04,16,24
2017-05,5,9
2017-06,0,10
2017-07,1,2
2017-08,2,8
2017-09,3,8
2017-10,6,26
2017-11,10,11
2017-12,22,26
2018-01,65,64
