Category: All categories

Month,flu contagious: (San Francisco-Oakland-San Jose CA),flu fever: (San Francisco-Oakland-San Jose CA)
2009-01,7,5
2009-02,9,11
2009-03,0,6
2009-04,7,9
2009-05,5,18
2009-06,3,10
2009-07,4,8
2009-08,9,6
2009-09,17,21
2009-10,17,23
2009-11,13,25
2009-12,10,8
2010-01,2,8
2010-02,2,3
2010-03,2,1
2010-04,1,4
2010-05,0,2
2010-06,1,1
2010-07,2,2
2010-08,1,2
2010-09,1,4
2010-10,1,4
2010-11,1,3
2010-12,3,5
2011-01,10,22
2011-02,25,34
2011-03,19,23
2011-04,9,12
2011-05,6,13
2011-06,6,10
2011-07,7,6
2011-08,5,7
2011-09,8,8
2011-10,4,18
2011-11,7,13
2011-12,24,10
2012-01,12,18
2012-02,6,12
2012-03,10,15
2012-04,9,12
2012-05,8,12
2012-06,3,8
2012-07,7,4
2012-08,4,8
2012-09,4,16
2012-10,12,19
2012-11,12,11
2012-12,15,14
2013-01,52,54
2013-02,31,32
2013-03,11,10
2013-04,8,23
2013-05,4,14
2013-06,6,8
2013-07,1,6
2013-08,6,8
2013-09,9,8
2013-10,17,17
2013-11,15,13
2013-12,27,33
2014-01,51,54
2014-02,10,16
2014-03,10,10
2014-04,7,5
2014-05,8,12
2014-06,6,7
2014-07,8,7
2014-08,7,2
2014-09,5,15
2014-10,13,20
2014-11,12,12
2014-12,30,31
2015-01,50,45
2015-02,23,22
2015-03,14,23
2015-04,9,21
2015-05,4,7
2015-06,9,11
2015-07,2,7
2015-08,6,3
2015-09,3,11
2015-10,11,17
2015-11,11,21
2015-12,17,25
2016-01,15,25
2016-02,11,24
2016-03,15,19
2016-04,7,17
2016-05,8,13
2016-06,3,11
2016-07,7,13
2016-08,3,4
2016-09,6,10
2016-10,7,20
2016-11,14,16
2016-12,19,25
2017-01,25,45
2017-02,22,24
2017-03,11,15
2017-04,11,15
2017-05,7,16
2017-06,4,14
2017-07,2,8
2017-08,3,6
2017-09,6,15
2017-10,8,11
2017-11,13,30
2017-12,32,48
2018-01,72,100
