Category: All categories

Month,flu contagious: (Texas),flu fever: (Texas)
2009-01,7,13
2009-02,19,10
2009-03,1,9
2009-04,4,21
2009-05,6,14
2009-06,2,5
2009-07,2,11
2009-08,6,6
2009-09,18,57
2009-10,40,59
2009-11,12,28
2009-12,11,14
2010-01,4,7
2010-02,3,8
2010-03,5,4
2010-04,4,6
2010-05,4,8
2010-06,5,3
2010-07,4,5
2010-08,0,4
2010-09,3,9
2010-10,1,9
2010-11,0,8
2010-12,6,11
2011-01,12,19
2011-02,17,26
2011-03,5,14
2011-04,2,5
2011-05,1,1
2011-06,1,5
2011-07,2,5
2011-08,1,4
2011-09,2,9
2011-10,5,13
2011-11,6,12
2011-12,5,7
2012-01,3,8
2012-02,7,10
2012-03,9,14
2012-04,4,10
2012-05,1,6
2012-06,3,4
2012-07,2,6
2012-08,1,4
2012-09,6,10
2012-10,6,8
2012-11,10,12
2012-12,30,25
2013-01,44,61
2013-02,14,19
2013-03,8,11
2013-04,4,9
2013-05,2,2
2013-06,2,3
2013-07,2,3
2013-08,2,3
2013-09,1,9
2013-10,4,9
2013-11,8,12
2013-12,38,28
2014-01,35,40
2014-02,8,16
2014-03,9,11
2014-04,4,8
2014-05,3,8
2014-06,1,5
2014-07,2,4
2014-08,1,6
2014-09,3,7
2014-10,7,14
2014-11,18,16
2014-12,53,43
2015-01,33,27
2015-02,22,24
2015-03,12,15
2015-04,5,8
2015-05,3,5
2015-06,2,6
2015-07,0,6
2015-08,1,5
2015-09,4,7
2015-10,6,9
2015-11,5,11
2015-12,7,12
2016-01,7,10
2016-02,14,21
2016-03,19,19
2016-04,10,12
2016-05,5,9
2016-06,6,6
2016-07,1,3
2016-08,1,4
2016-09,4,12
2016-10,6,12
2016-11,5,17
2016-12,12,16
2017-01,22,20
2017-02,34,43
2017-03,18,22
2017-04,8,10
2017-05,5,5
2017-06,2,7
2017-07,3,5
2017-08,2,7
2017-09,4,12
2017-10,9,16
2017-11,13,23
2017-12,57,51
2018-01,100,96
