Category: All categories

Month,flu contagious: (United States),flu fever: (United States)
2009-01,8,10
2009-02,10,14
2009-03,6,13
2009-04,7,18
2009-05,7,26
2009-06,8,16
2009-07,6,14
2009-08,7,16
2009-09,21,38
2009-10,46,72
2009-11,29,43
2009-12,11,21
2010-01,8,14
2010-02,7,11
2010-03,6,8
2010-04,3,7
2010-05,2,6
2010-06,2,5
2010-07,2,3
2010-08,1,5
2010-09,3,7
2010-10,5,9
2010-11,6,11
2010-12,11,14
2011-01,16,20
2011-02,20,31
2011-03,13,15
2011-04,5,8
2011-05,4,6
2011-06,3,6
2011-07,3,5
2011-08,2,5
2011-09,4,9
2011-10,5,15
2011-11,7,13
2011-12,13,13
2012-01,10,12
2012-02,12,14
2012-03,10,15
2012-04,7,11
2012-05,4,8
2012-06,4,7
2012-07,3,6
2012-08,3,7
2012-09,6,10
2012-10,8,13
2012-11,12,15
2012-12,34,33
2013-01,55,59
2013-02,24,27
2013-03,15,20
2013-04,7,12
2013-05,4,8
2013-06,3,6
2013-07,3,5
2013-08,3,6
2013-09,4,10
2013-10,7,16
2013-11,10,15
2013-12,26,25
2014-01,37,37
2014-02,17,22
2014-03,11,16
2014-04,8,14
2014-05,5,9
2014-06,3,7
2014-07,2,6
2014-08,3,7
2014-09,5,10
2014-10,9,19
2014-11,13,18
2014-12,55,41
2015-01,43,43
2015-02,27,27
2015-03,18,20
2015-04,10,14
2015-05,5,9
2015-06,3,7
2015-07,3,6
2015-08,3,6
2015-09,5,10
2015-10,8,15
2015-11,10,17
2015-12,13,18
2016-01,11,16
2016-02,21,26
2016-03,28,34
2016-04,13,17
2016-05,6,11
2016-06,3,8
2016-07,3,6
2016-08,3,7
2016-09,5,13
2016-10,8,17
2016-11,10,17
2016-12,21,22
2017-01,30,31
2017-02,43,46
2017-03,27,31
2017-04,15,18
2017-05,7,11
2017-06,4,9
2017-07,3,8
2017-08,3,8
2017-09,6,13
2017-10,11,20
2017-11,15,24
2017-12,50,47
2018-01,96,100
