Month,flu duration: (Boston MA-Manchester NH),flu duration: (California),flu duration: (Chicago IL),flu duration: (Houston TX),flu duration: (Illinois),flu duration: (Massachusetts),flu duration: (New York),flu duration: (New York NY),flu duration: (Pennsylvania),flu duration: (Philadelphia PA),flu duration: (San Francisco-Oakland-San Jose CA),flu duration: (Texas),flu duration: (United States)
2009-01,19,28,0,54,0,15,31,12,0,0,16,0,14
2009-02,100,40,0,57,38,16,49,0,53,0,17,50,28
2009-03,0,0,0,0,0,0,43,11,24,0,0,0,19
2009-04,19,35,25,0,0,29,15,0,0,0,0,15,26
2009-05,0,17,53,0,18,0,15,47,26,0,39,15,30
2009-06,37,26,0,0,0,0,45,47,27,52,13,16,20
2009-07,19,8,0,53,0,16,31,12,28,0,12,31,14
2009-08,0,8,0,0,0,0,0,0,0,0,12,0,19
2009-09,18,63,53,53,18,14,0,11,0,51,23,74,52
2009-10,17,97,96,100,100,13,68,64,72,71,32,100,100
2009-11,79,68,100,0,52,100,100,100,100,100,22,60,65
2009-12,0,23,25,0,0,0,28,32,50,50,11,30,17
2010-01,0,28,23,0,32,12,27,20,0,0,10,0,19
2010-02,16,14,24,0,0,25,27,0,0,0,10,0,12
2010-03,0,6,22,0,15,11,0,10,0,0,9,0,13
2010-04,0,13,22,0,32,0,13,10,48,48,9,0,6
2010-05,0,0,0,0,0,0,0,21,0,0,0,15,8
2010-06,16,14,0,0,0,13,14,10,0,26,18,15,2
2010-07,0,0,0,0,0,12,13,0,26,25,7,0,1
2010-08,0,6,0,0,0,0,27,0,0,0,0,0,6
2010-09,0,11,0,0,16,0,0,10,0,24,0,0,7
2010-10,0,11,0,0,0,0,12,0,0,0,0,11,9
2010-11,0,16,21,0,15,0,0,0,45,0,0,11,6
2010-12,27,27,0,0,0,11,0,19,0,0,6,22,9
2011-01,19,33,61,18,14,23,46,15,26,46,55,26,29
2011-02,31,17,11,19,15,32,20,48,41,33,44,28,35
2011-03,0,10,19,0,13,7,36,19,12,15,26,19,21
2011-04,0,21,0,0,0,7,25,5,13,32,0,0,11
2011-05,0,20,0,0,0,0,12,5,0,0,0,6,6
2011-06,0,5,0,18,0,0,0,0,0,0,0,7,5
2011-07,0,5,0,0,0,0,12,10,0,0,0,0,5
2011-08,0,5,0,0,0,0,12,0,0,0,13,0,5
2011-09,9,9,18,0,12,0,12,0,12,0,0,0,7
2011-10,17,17,0,0,0,7,17,5,0,0,12,11,9
2011-11,0,9,9,0,6,7,12,5,22,27,0,0,13
2011-12,8,13,7,0,5,6,6,19,22,39,12,5,12
2012-01,21,16,7,15,24,23,11,4,30,0,12,10,14
2012-02,0,26,0,0,0,6,0,28,10,0,0,5,17
2012-03,0,12,21,0,10,6,5,4,0,0,11,10,12
2012-04,0,12,7,0,9,0,6,13,10,12,11,5,9
2012-05,0,4,7,0,5,0,5,9,0,0,0,0,8
2012-06,7,13,13,0,14,0,0,9,0,0,0,5,4
2012-07,0,8,0,0,0,0,5,0,0,0,0,0,6
2012-08,0,20,0,0,4,5,0,0,0,0,12,0,4
2012-09,0,8,0,0,0,0,21,4,10,0,25,5,6
2012-10,0,7,0,0,17,0,0,4,0,11,0,0,9
2012-11,0,12,12,43,4,4,15,0,10,0,11,9,13
2012-12,8,23,33,0,23,11,19,35,53,0,10,15,33
2013-01,69,100,48,54,46,67,77,83,76,73,89,72,79
2013-02,6,52,27,14,28,5,10,8,27,52,20,21,23
2013-03,0,38,6,25,4,4,10,12,8,10,38,17,22
2013-04,6,11,0,0,9,0,10,8,17,21,9,0,9
2013-05,6,7,0,0,0,4,5,0,0,0,9,0,4
2013-06,0,14,0,0,0,0,10,4,0,0,0,4,2
2013-07,0,3,7,0,0,0,5,4,0,0,10,0,3
2013-08,0,3,0,0,0,0,5,4,0,0,0,9,2
2013-09,0,14,0,0,0,0,5,4,0,0,0,13,6
2013-10,12,14,6,14,4,14,5,4,0,0,10,8,7
2013-11,0,7,7,0,0,0,5,0,0,9,20,9,12
2013-12,6,18,26,15,4,10,4,10,16,9,10,55,24
2014-01,36,54,36,0,13,9,25,26,8,9,85,45,38
2014-02,13,34,20,15,9,10,29,23,8,19,75,18,20
2014-03,6,7,12,0,8,5,13,17,7,9,9,0,12
2014-04,0,14,13,14,9,5,32,11,16,0,20,4,9
2014-05,13,11,0,0,0,10,5,7,17,0,30,0,5
2014-06,0,16,0,0,0,0,0,0,21,0,23,10,4
2014-07,0,8,15,0,5,6,0,0,0,0,0,5,2
2014-08,7,4,0,0,0,6,0,0,0,0,11,0,3
2014-09,0,0,7,14,0,0,0,0,0,0,0,10,4
2014-10,13,4,0,14,0,15,5,0,0,0,11,9,8
2014-11,7,20,0,0,0,0,5,12,16,0,10,0,13
2014-12,7,20,16,27,22,0,33,19,37,9,41,61,40
2015-01,21,58,32,52,27,39,46,58,45,44,29,29,45
2015-02,0,29,9,40,6,0,30,12,30,9,32,20,18
2015-03,14,16,16,0,0,5,14,4,14,16,0,5,16
2015-04,14,12,0,0,5,6,0,4,15,8,10,5,9
2015-05,0,8,0,0,0,6,5,4,0,0,20,0,5
2015-06,0,8,0,13,0,0,0,8,0,0,21,5,4
2015-07,0,8,0,0,0,0,10,4,10,0,10,0,4
2015-08,8,4,0,0,0,0,5,0,0,0,0,0,2
2015-09,8,11,0,0,0,12,9,4,0,0,0,8,9
2015-10,14,7,6,0,0,0,4,10,0,11,21,11,10
2015-11,0,12,7,0,5,0,5,4,0,12,0,4,11
2015-12,0,12,0,0,5,0,0,4,9,11,12,4,9
