Category: All categories

Month,flu duration: (Boston MA-Manchester NH)
2009-01,19
2009-02,100
2009-03,0
2009-04,19
2009-05,0
2009-06,37
2009-07,19
2009-08,0
2009-09,18
2009-10,17
2009-11,79
2009-12,0
2010-01,0
2010-02,16
2010-03,0
2010-04,0
2010-05,0
2010-06,16
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,27
2011-01,19
2011-02,31
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,9
2011-10,17
2011-11,0
2011-12,8
2012-01,21
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,7
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,8
2013-01,69
2013-02,6
2013-03,0
2013-04,6
2013-05,6
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,12
2013-11,0
2013-12,6
2014-01,36
2014-02,13
2014-03,6
2014-04,0
2014-05,13
2014-06,0
2014-07,0
2014-08,7
2014-09,0
2014-10,13
2014-11,7
2014-12,7
2015-01,21
2015-02,0
2015-03,14
2015-04,14
2015-05,0
2015-06,0
2015-07,0
2015-08,8
2015-09,8
2015-10,14
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,28
2016-04,0
2016-05,0
2016-06,0
2016-07,5
2016-08,6
2016-09,0
2016-10,0
2016-11,0
2016-12,5
2017-01,5
2017-02,16
2017-03,0
2017-04,11
2017-05,5
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,10
2017-11,5
2017-12,0
2018-01,21
