Category: All categories

Month,flu duration: (California)
2009-01,28
2009-02,40
2009-03,0
2009-04,35
2009-05,17
2009-06,26
2009-07,8
2009-08,8
2009-09,63
2009-10,97
2009-11,68
2009-12,23
2010-01,28
2010-02,14
2010-03,6
2010-04,13
2010-05,0
2010-06,14
2010-07,0
2010-08,6
2010-09,11
2010-10,11
2010-11,16
2010-12,27
2011-01,33
2011-02,17
2011-03,10
2011-04,21
2011-05,20
2011-06,5
2011-07,5
2011-08,5
2011-09,9
2011-10,17
2011-11,9
2011-12,13
2012-01,16
2012-02,26
2012-03,12
2012-04,12
2012-05,4
2012-06,13
2012-07,8
2012-08,20
2012-09,8
2012-10,7
2012-11,12
2012-12,23
2013-01,100
2013-02,52
2013-03,38
2013-04,11
2013-05,7
2013-06,14
2013-07,3
2013-08,3
2013-09,14
2013-10,14
2013-11,7
2013-12,18
2014-01,54
2014-02,34
2014-03,7
2014-04,14
2014-05,11
2014-06,16
2014-07,8
2014-08,4
2014-09,0
2014-10,4
2014-11,20
2014-12,20
2015-01,58
2015-02,29
2015-03,16
2015-04,12
2015-05,8
2015-06,8
2015-07,8
2015-08,4
2015-09,11
2015-10,7
2015-11,12
2015-12,12
2016-01,20
2016-02,24
2016-03,17
2016-04,3
2016-05,3
2016-06,9
2016-07,6
2016-08,9
2016-09,9
2016-10,11
2016-11,14
2016-12,19
2017-01,24
2017-02,17
2017-03,15
2017-04,5
2017-05,16
2017-06,34
2017-07,6
2017-08,11
2017-09,8
2017-10,13
2017-11,16
2017-12,47
2018-01,82
