Category: All categories

Month,flu duration: (Chicago IL)
2009-01,0
2009-02,0
2009-03,0
2009-04,25
2009-05,53
2009-06,0
2009-07,0
2009-08,0
2009-09,53
2009-10,96
2009-11,100
2009-12,25
2010-01,23
2010-02,24
2010-03,22
2010-04,22
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,21
2010-12,0
2011-01,61
2011-02,11
2011-03,19
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,18
2011-10,0
2011-11,9
2011-12,7
2012-01,7
2012-02,0
2012-03,21
2012-04,7
2012-05,7
2012-06,13
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,12
2012-12,33
2013-01,48
2013-02,27
2013-03,6
2013-04,0
2013-05,0
2013-06,0
2013-07,7
2013-08,0
2013-09,0
2013-10,6
2013-11,7
2013-12,26
2014-01,36
2014-02,20
2014-03,12
2014-04,13
2014-05,0
2014-06,0
2014-07,15
2014-08,0
2014-09,7
2014-10,0
2014-11,0
2014-12,16
2015-01,32
2015-02,9
2015-03,16
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,6
2015-11,7
2015-12,0
2016-01,5
2016-02,17
2016-03,16
2016-04,16
2016-05,0
2016-06,0
2016-07,5
2016-08,6
2016-09,17
2016-10,0
2016-11,0
2016-12,5
2017-01,15
2017-02,16
2017-03,0
2017-04,5
2017-05,0
2017-06,6
2017-07,6
2017-08,5
2017-09,11
2017-10,15
2017-11,0
2017-12,22
2018-01,35
