Category: All categories

Month,flu duration: (Houston TX)
2009-01,54
2009-02,57
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,53
2009-08,0
2009-09,53
2009-10,100
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,18
2011-02,19
2011-03,0
2011-04,0
2011-05,0
2011-06,18
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,15
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,43
2012-12,0
2013-01,54
2013-02,14
2013-03,25
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,14
2013-11,0
2013-12,15
2014-01,0
2014-02,15
2014-03,0
2014-04,14
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,14
2014-10,14
2014-11,0
2014-12,27
2015-01,52
2015-02,40
2015-03,0
2015-04,0
2015-05,0
2015-06,13
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,8
2016-03,23
2016-04,9
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,9
2016-10,9
2016-11,0
2016-12,0
2017-01,0
2017-02,17
2017-03,16
2017-04,0
2017-05,0
2017-06,25
2017-07,8
2017-08,8
2017-09,0
2017-10,8
2017-11,33
2017-12,33
2018-01,31
