Category: All categories

Month,flu duration: (Illinois)
2009-01,0
2009-02,38
2009-03,0
2009-04,0
2009-05,18
2009-06,0
2009-07,0
2009-08,0
2009-09,18
2009-10,100
2009-11,52
2009-12,0
2010-01,32
2010-02,0
2010-03,15
2010-04,32
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,16
2010-10,0
2010-11,15
2010-12,0
2011-01,14
2011-02,15
2011-03,13
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,12
2011-10,0
2011-11,6
2011-12,5
2012-01,24
2012-02,0
2012-03,10
2012-04,9
2012-05,5
2012-06,14
2012-07,0
2012-08,4
2012-09,0
2012-10,17
2012-11,4
2012-12,23
2013-01,46
2013-02,28
2013-03,4
2013-04,9
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,4
2013-11,0
2013-12,4
2014-01,13
2014-02,9
2014-03,8
2014-04,9
2014-05,0
2014-06,0
2014-07,5
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,22
2015-01,27
2015-02,6
2015-03,0
2015-04,5
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,5
2015-12,5
2016-01,4
2016-02,19
2016-03,7
2016-04,4
2016-05,0
2016-06,4
2016-07,4
2016-08,0
2016-09,11
2016-10,0
2016-11,0
2016-12,10
2017-01,10
2017-02,15
2017-03,7
2017-04,3
2017-05,3
2017-06,4
2017-07,4
2017-08,0
2017-09,7
2017-10,7
2017-11,0
2017-12,7
2018-01,37
