Category: All categories

Month,flu duration: (Massachusetts)
2009-01,15
2009-02,16
2009-03,0
2009-04,29
2009-05,0
2009-06,0
2009-07,16
2009-08,0
2009-09,14
2009-10,13
2009-11,100
2009-12,0
2010-01,12
2010-02,25
2010-03,11
2010-04,0
2010-05,0
2010-06,13
2010-07,12
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,11
2011-01,23
2011-02,32
2011-03,7
2011-04,7
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,7
2011-11,7
2011-12,6
2012-01,23
2012-02,6
2012-03,6
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,5
2012-09,0
2012-10,0
2012-11,4
2012-12,11
2013-01,67
2013-02,5
2013-03,4
2013-04,0
2013-05,4
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,14
2013-11,0
2013-12,10
2014-01,9
2014-02,10
2014-03,5
2014-04,5
2014-05,10
2014-06,0
2014-07,6
2014-08,6
2014-09,0
2014-10,15
2014-11,0
2014-12,0
2015-01,39
2015-02,0
2015-03,5
2015-04,6
2015-05,6
2015-06,0
2015-07,0
2015-08,0
2015-09,12
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,4
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,4
2016-10,4
2016-11,0
2016-12,17
2017-01,4
2017-02,4
2017-03,0
2017-04,4
2017-05,0
2017-06,0
2017-07,5
2017-08,0
2017-09,4
2017-10,8
2017-11,0
2017-12,13
2018-01,16
