Category: All categories

Month,flu duration: (New York)
2009-01,31
2009-02,49
2009-03,43
2009-04,15
2009-05,15
2009-06,45
2009-07,31
2009-08,0
2009-09,0
2009-10,68
2009-11,100
2009-12,28
2010-01,27
2010-02,27
2010-03,0
2010-04,13
2010-05,0
2010-06,14
2010-07,13
2010-08,27
2010-09,0
2010-10,12
2010-11,0
2010-12,0
2011-01,46
2011-02,20
2011-03,36
2011-04,25
2011-05,12
2011-06,0
2011-07,12
2011-08,12
2011-09,12
2011-10,17
2011-11,12
2011-12,6
2012-01,11
2012-02,0
2012-03,5
2012-04,6
2012-05,5
2012-06,0
2012-07,5
2012-08,0
2012-09,21
2012-10,0
2012-11,15
2012-12,19
2013-01,77
2013-02,10
2013-03,10
2013-04,10
2013-05,5
2013-06,10
2013-07,5
2013-08,5
2013-09,5
2013-10,5
2013-11,5
2013-12,4
2014-01,25
2014-02,29
2014-03,13
2014-04,32
2014-05,5
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,5
2014-11,5
2014-12,33
2015-01,46
2015-02,30
2015-03,14
2015-04,0
2015-05,5
2015-06,0
2015-07,10
2015-08,5
2015-09,9
2015-10,4
2015-11,5
2015-12,0
2016-01,8
2016-02,8
2016-03,20
2016-04,12
2016-05,4
2016-06,13
2016-07,5
2016-08,0
2016-09,9
2016-10,4
2016-11,16
2016-12,8
2017-01,34
2017-02,29
2017-03,11
2017-04,27
2017-05,0
2017-06,8
2017-07,8
2017-08,12
2017-09,4
2017-10,15
2017-11,8
2017-12,16
2018-01,26
