Category: All categories

Month,flu duration: (New York NY)
2009-01,12
2009-02,0
2009-03,11
2009-04,0
2009-05,47
2009-06,47
2009-07,12
2009-08,0
2009-09,11
2009-10,64
2009-11,100
2009-12,32
2010-01,20
2010-02,0
2010-03,10
2010-04,10
2010-05,21
2010-06,10
2010-07,0
2010-08,0
2010-09,10
2010-10,0
2010-11,0
2010-12,19
2011-01,15
2011-02,48
2011-03,19
2011-04,5
2011-05,5
2011-06,0
2011-07,10
2011-08,0
2011-09,0
2011-10,5
2011-11,5
2011-12,19
2012-01,4
2012-02,28
2012-03,4
2012-04,13
2012-05,9
2012-06,9
2012-07,0
2012-08,0
2012-09,4
2012-10,4
2012-11,0
2012-12,35
2013-01,83
2013-02,8
2013-03,12
2013-04,8
2013-05,0
2013-06,4
2013-07,4
2013-08,4
2013-09,4
2013-10,4
2013-11,0
2013-12,10
2014-01,26
2014-02,23
2014-03,17
2014-04,11
2014-05,7
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,12
2014-12,19
2015-01,58
2015-02,12
2015-03,4
2015-04,4
2015-05,4
2015-06,8
2015-07,4
2015-08,0
2015-09,4
2015-10,10
2015-11,4
2015-12,4
2016-01,10
2016-02,20
2016-03,35
2016-04,3
2016-05,6
2016-06,0
2016-07,4
2016-08,4
2016-09,10
2016-10,6
2016-11,3
2016-12,12
2017-01,30
2017-02,23
2017-03,20
2017-04,15
2017-05,3
2017-06,13
2017-07,7
2017-08,3
2017-09,3
2017-10,6
2017-11,6
2017-12,9
2018-01,56
