Category: All categories

Month,flu duration: (Pennsylvania)
2009-01,0
2009-02,53
2009-03,24
2009-04,0
2009-05,26
2009-06,27
2009-07,28
2009-08,0
2009-09,0
2009-10,72
2009-11,100
2009-12,50
2010-01,0
2010-02,0
2010-03,0
2010-04,48
2010-05,0
2010-06,0
2010-07,26
2010-08,0
2010-09,0
2010-10,0
2010-11,45
2010-12,0
2011-01,26
2011-02,41
2011-03,12
2011-04,13
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,12
2011-10,0
2011-11,22
2011-12,22
2012-01,30
2012-02,10
2012-03,0
2012-04,10
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,10
2012-10,0
2012-11,10
2012-12,53
2013-01,76
2013-02,27
2013-03,8
2013-04,17
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,16
2014-01,8
2014-02,8
2014-03,7
2014-04,16
2014-05,17
2014-06,21
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,16
2014-12,37
2015-01,45
2015-02,30
2015-03,14
2015-04,15
2015-05,0
2015-06,0
2015-07,10
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,9
2016-01,0
2016-02,7
2016-03,41
2016-04,34
2016-05,7
2016-06,0
2016-07,0
2016-08,8
2016-09,14
2016-10,7
2016-11,0
2016-12,19
2017-01,37
2017-02,20
2017-03,18
2017-04,13
2017-05,6
2017-06,7
2017-07,7
2017-08,0
2017-09,13
2017-10,0
2017-11,12
2017-12,18
2018-01,23
