Category: All categories

Month,flu duration: (Philadelphia PA)
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,52
2009-07,0
2009-08,0
2009-09,51
2009-10,71
2009-11,100
2009-12,50
2010-01,0
2010-02,0
2010-03,0
2010-04,48
2010-05,0
2010-06,26
2010-07,25
2010-08,0
2010-09,24
2010-10,0
2010-11,0
2010-12,0
2011-01,46
2011-02,33
2011-03,15
2011-04,32
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,27
2011-12,39
2012-01,0
2012-02,0
2012-03,0
2012-04,12
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,11
2012-11,0
2012-12,0
2013-01,73
2013-02,52
2013-03,10
2013-04,21
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,9
2013-12,9
2014-01,9
2014-02,19
2014-03,9
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,9
2015-01,44
2015-02,9
2015-03,16
2015-04,8
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,11
2015-11,12
2015-12,11
2016-01,17
2016-02,9
2016-03,34
2016-04,8
2016-05,16
2016-06,0
2016-07,9
2016-08,18
2016-09,9
2016-10,0
2016-11,8
2016-12,24
2017-01,8
2017-02,16
2017-03,14
2017-04,16
2017-05,0
2017-06,8
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,7
2017-12,22
2018-01,37
