Category: All categories

Month,flu duration: (San Francisco-Oakland-San Jose CA)
2009-01,16
2009-02,17
2009-03,0
2009-04,0
2009-05,39
2009-06,13
2009-07,12
2009-08,12
2009-09,23
2009-10,32
2009-11,22
2009-12,11
2010-01,10
2010-02,10
2010-03,9
2010-04,9
2010-05,0
2010-06,18
2010-07,7
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,6
2011-01,55
2011-02,44
2011-03,26
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,13
2011-09,0
2011-10,12
2011-11,0
2011-12,12
2012-01,12
2012-02,0
2012-03,11
2012-04,11
2012-05,0
2012-06,0
2012-07,0
2012-08,12
2012-09,25
2012-10,0
2012-11,11
2012-12,10
2013-01,89
2013-02,20
2013-03,38
2013-04,9
2013-05,9
2013-06,0
2013-07,10
2013-08,0
2013-09,0
2013-10,10
2013-11,20
2013-12,10
2014-01,85
2014-02,75
2014-03,9
2014-04,20
2014-05,30
2014-06,23
2014-07,0
2014-08,11
2014-09,0
2014-10,11
2014-11,10
2014-12,41
2015-01,29
2015-02,32
2015-03,0
2015-04,10
2015-05,20
2015-06,21
2015-07,10
2015-08,0
2015-09,0
2015-10,21
2015-11,0
2015-12,12
2016-01,26
2016-02,18
2016-03,16
2016-04,9
2016-05,9
2016-06,9
2016-07,10
2016-08,9
2016-09,0
2016-10,26
2016-11,17
2016-12,8
2017-01,32
2017-02,25
2017-03,8
2017-04,0
2017-05,16
2017-06,18
2017-07,18
2017-08,17
2017-09,0
2017-10,8
2017-11,25
2017-12,27
2018-01,100
