Category: All categories

Month,flu duration: (United States)
2009-01,14
2009-02,28
2009-03,19
2009-04,26
2009-05,30
2009-06,20
2009-07,14
2009-08,19
2009-09,52
2009-10,100
2009-11,65
2009-12,17
2010-01,19
2010-02,12
2010-03,13
2010-04,6
2010-05,8
2010-06,2
2010-07,1
2010-08,6
2010-09,7
2010-10,9
2010-11,6
2010-12,9
2011-01,29
2011-02,35
2011-03,21
2011-04,11
2011-05,6
2011-06,5
2011-07,5
2011-08,5
2011-09,7
2011-10,9
2011-11,13
2011-12,12
2012-01,14
2012-02,17
2012-03,12
2012-04,9
2012-05,8
2012-06,4
2012-07,6
2012-08,4
2012-09,6
2012-10,9
2012-11,13
2012-12,33
2013-01,79
2013-02,23
2013-03,22
2013-04,9
2013-05,4
2013-06,2
2013-07,3
2013-08,2
2013-09,6
2013-10,7
2013-11,12
2013-12,24
2014-01,38
2014-02,20
2014-03,12
2014-04,9
2014-05,5
2014-06,4
2014-07,2
2014-08,3
2014-09,4
2014-10,8
2014-11,13
2014-12,40
2015-01,45
2015-02,18
2015-03,16
2015-04,9
2015-05,5
2015-06,4
2015-07,4
2015-08,2
2015-09,9
2015-10,10
2015-11,11
2015-12,9
2016-01,7
2016-02,14
2016-03,25
2016-04,11
2016-05,7
2016-06,4
2016-07,3
2016-08,4
2016-09,7
2016-10,7
2016-11,7
2016-12,15
2017-01,25
2017-02,29
2017-03,16
2017-04,8
2017-05,6
2017-06,8
2017-07,4
2017-08,5
2017-09,5
2017-10,7
2017-11,14
2017-12,30
2018-01,57
