Month,flu fever: (Arizona),symptoms of flu: (Boston MA-Manchester NH),flu fever: (California),flu fever: (Chicago IL),flu fever: (Florida),flu fever: (Houston TX),flu fever: (Illinois),flu fever: (Los Angeles CA),flu fever: (Massachusetts),flu fever: (Miami-Ft. Lauderdale FL),flu fever: (New York),flu fever: (New York NY),flu fever: (Pennsylvania),flu fever: (Philadelphia PA),flu fever: (Phoenix AZ),flu fever: (Seattle-Tacoma WA),flu fever: (San Francisco-Oakland-San Jose CA),flu fever: (Texas),flu fever: (United States),flu fever: (Washington)
2004-01,0,0,16,18,18,38,15,0,0,100,37,27,0,50,0,0,0,15,17,0
2004-02,0,0,0,0,0,0,0,41,0,0,19,0,0,0,0,24,11,0,3,0
2004-03,0,7,0,0,0,0,0,0,0,0,11,0,0,0,0,30,0,0,3,0
2004-04,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2004-05,0,0,0,0,15,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0
2004-06,0,0,9,0,15,0,0,12,0,0,0,0,0,0,0,0,11,0,3,0
2004-07,0,6,5,0,0,33,0,0,0,0,0,8,0,0,0,0,0,0,2,0
2004-08,0,0,0,0,0,0,0,33,21,0,0,0,15,0,0,0,0,6,3,0
2004-09,0,0,4,15,0,0,0,0,0,0,0,14,0,0,0,19,21,0,4,0
2004-10,0,10,9,0,0,0,12,0,0,0,0,7,0,19,0,0,11,12,5,0
2004-11,0,0,9,0,0,0,0,0,20,0,0,0,14,20,0,19,0,13,7,36
2004-12,0,0,16,0,23,0,0,10,17,0,7,20,12,0,0,0,0,6,8,0
2005-01,0,8,7,12,20,26,10,18,0,41,6,0,32,0,0,15,9,20,12,0
2005-02,30,17,19,24,10,0,0,10,0,0,0,6,11,0,34,17,29,0,17,16
2005-03,0,7,13,10,18,25,17,0,0,0,11,10,10,28,0,0,24,4,7,0
2005-04,0,8,11,0,0,0,10,9,0,0,6,18,0,0,0,0,0,0,6,0
2005-05,0,0,15,21,0,23,18,16,14,0,0,0,0,0,0,0,16,4,3,0
2005-06,0,0,3,0,0,0,9,8,0,0,0,10,0,0,0,0,0,0,2,0
2005-07,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,14
2005-08,0,0,0,0,16,0,8,0,0,0,0,10,10,0,0,0,0,0,4,0
2005-09,0,0,6,0,7,0,0,7,0,0,0,0,0,0,0,0,22,0,4,0
2005-10,0,9,22,0,7,20,0,0,12,0,9,17,8,23,23,12,21,7,8,0
2005-11,0,6,6,9,22,61,0,21,0,0,5,4,0,0,0,13,0,29,9,23
2005-12,0,3,32,0,7,39,0,14,0,0,13,16,8,11,23,12,7,7,10,33
2006-01,18,3,2,15,0,0,0,6,11,0,16,15,0,0,0,0,0,12,9,0
2006-02,72,9,13,8,31,0,0,19,0,0,8,16,14,10,61,0,19,3,12,11
2006-03,0,10,4,0,5,16,11,5,30,0,10,14,12,9,18,10,17,11,9,9
2006-04,32,5,2,21,0,17,0,6,10,0,19,11,0,0,18,0,0,9,6,19
2006-05,0,8,8,0,11,0,0,5,0,0,4,3,0,9,0,0,17,0,5,0
2006-06,33,10,7,14,6,0,0,0,10,0,4,7,7,0,36,0,12,3,2,9
2006-07,0,3,4,0,0,0,0,11,21,0,0,4,0,0,0,0,6,3,2,0
2006-08,0,0,10,12,0,0,0,5,0,0,0,7,6,0,0,0,5,0,4,0
2006-09,0,2,10,13,10,0,0,5,0,20,0,3,0,0,0,0,0,0,2,9
2006-10,0,4,7,12,0,0,0,5,0,0,15,6,0,7,0,0,10,7,6,0
2006-11,39,6,11,6,9,13,10,5,0,0,6,9,0,0,44,0,10,5,7,8
2006-12,0,9,13,0,13,13,5,9,17,39,6,20,5,28,0,18,10,10,12,32
2007-01,12,8,15,5,8,11,18,12,15,0,8,10,9,13,0,0,9,10,9,27
2007-02,12,2,12,10,8,12,23,17,8,0,14,6,5,0,27,17,10,13,10,22
2007-03,0,4,9,15,7,22,4,4,0,16,8,17,9,6,0,7,13,8,9,13
2007-04,0,2,8,10,8,0,4,4,0,16,5,8,13,12,0,8,0,0,5,14
2007-05,30,0,4,5,0,0,4,3,7,0,2,5,16,11,23,0,7,0,4,0
2007-06,11,0,1,0,0,0,4,3,0,15,0,0,9,12,12,0,7,2,4,0
2007-07,10,4,4,5,3,10,0,3,0,0,5,2,8,11,0,7,0,3,4,6
2007-08,9,0,5,9,3,0,0,0,0,0,9,13,0,5,0,7,0,0,3,0
2007-09,0,0,9,0,0,0,0,3,6,0,5,2,11,15,0,0,3,5,5,6
2007-10,9,0,8,4,6,22,4,9,11,0,2,4,13,9,0,0,8,12,7,0
2007-11,9,3,10,8,16,0,4,12,35,0,6,6,7,4,0,6,7,4,7,11
2007-12,18,0,14,13,10,0,4,13,24,13,12,11,0,4,31,0,10,8,8,0
2008-01,16,4,18,8,8,38,3,14,11,24,13,18,13,12,9,5,15,24,13,25
2008-02,34,10,28,21,15,19,28,15,46,37,28,28,29,21,38,17,16,15,25,26
2008-03,8,10,13,8,17,0,11,20,16,12,18,12,16,24,28,11,4,12,13,15
2008-04,8,3,9,0,3,0,10,16,0,12,5,14,10,0,0,5,11,4,6,25
2008-05,0,3,4,4,6,9,7,0,6,0,5,11,16,8,18,5,0,4,5,5
2008-06,9,0,8,0,3,0,4,6,6,0,4,5,4,4,10,0,5,0,4,0
2008-07,8,0,4,0,3,0,4,0,0,0,4,5,0,4,28,6,2,3,3,0
2008-08,16,1,4,4,5,0,0,16,0,11,2,2,0,0,0,0,6,3,3,0
2008-09,8,4,2,4,8,0,24,5,11,11,7,3,0,8,9,11,2,2,4,5
2008-10,7,5,9,7,7,8,3,9,10,10,5,7,6,11,16,5,10,2,7,4
2008-11,16,8,10,8,16,0,7,16,11,0,15,8,9,16,9,5,9,7,9,15
2008-12,0,5,5,12,13,0,3,0,5,21,12,11,12,4,0,5,2,5,7,14
2009-01,37,1,9,11,20,7,3,32,10,20,13,12,12,7,17,5,10,4,8,9
