Week,"New York, NY","Chicago, IL","San Francisco, CA","Houston, TX","Boston, MA","Philadelphia, PA"
1/5/14,81,68,35,98,18,20
1/12/14,27,68,73,64,35,62
1/19/14,45,51,51,0,0,59
1/26/14,45,33,48,31,17,19
2/2/14,19,35,42,0,36,0
2/9/14,36,33,23,32,50,38
2/16/14,18,0,12,31,0,0
2/23/14,9,33,48,0,0,38
3/2/14,35,16,0,0,17,19
3/9/14,35,0,24,32,0,19
3/16/14,9,33,0,0,35,60
3/23/14,9,51,24,32,0,0
3/30/14,27,17,0,0,0,20
4/6/14,47,35,0,0,36,0
4/13/14,10,0,0,0,18,41
4/20/14,9,18,0,0,0,20
4/27/14,37,0,12,0,18,20
5/4/14,0,56,0,0,37,0
5/11/14,9,0,24,0,19,0
5/18/14,0,0,0,0,0,22
5/25/14,12,0,29,37,0,0
6/1/14,0,0,0,0,0,0
6/8/14,0,0,0,0,0,0
6/15/14,11,0,0,0,0,0
6/22/14,0,0,0,0,0,0
6/29/14,0,23,0,0,0,0
7/6/14,0,0,0,0,0,0
7/13/14,0,0,0,0,0,0
7/20/14,0,21,0,0,0,0
7/27/14,11,0,0,0,0,24
8/3/14,0,0,0,0,0,0
8/10/14,0,0,0,0,21,0
8/17/14,0,0,14,0,22,0
8/24/14,24,0,0,0,0,25
8/31/14,0,39,15,0,0,0
9/7/14,22,0,0,30,40,23
9/14/14,22,0,0,61,42,24
9/21/14,56,19,0,96,0,0
9/28/14,11,19,0,0,20,0
10/5/14,22,19,15,95,0,24
10/12/14,0,19,0,33,0,24
10/19/14,44,20,0,0,0,0
10/26/14,11,0,0,64,0,0
11/2/14,40,21,0,0,20,0
11/9/14,20,0,36,62,21,19
11/16/14,20,0,0,63,83,19
11/23/14,41,90,13,0,22,39
11/30/14,9,81,0,30,20,54
12/7/14,19,21,36,0,0,37
12/14/14,50,67,26,64,0,57
12/21/14,46,80,15,0,100,85
12/28/14,77,100,60,100,95,100
1/4/15,69,65,25,59,84,18
1/11/15,29,44,73,29,21,39
1/18/15,39,22,23,89,63,42
1/25/15,9,22,36,30,21,19
2/1/15,19,21,0,28,81,17
