,Boston,Chicago,Houston,LosAngeles,Miami,NewYork,Philadelphia,Phoenix,SanFrancisco,Seattle
2004-01,0.6121057641154101,0.7229761904761904,0.0,0.0,0.0,1.2291234464325829,0.8866307556080283,0.0,0.0,0.6502710622710624
2004-02,0.21852135313026175,0.42478225095503985,0.0,0.0,0.0,0.04018991869918699,0.043029861560706456,0.003095238095238095,0.0,0.007428571428571428
2004-03,0.8522553432475768,0.12608695652173912,0.0,0.0,0.0,0.5357125203252032,0.2919283540836077,0.0,0.0,0.003714285714285714
2004-04,0.005619834710743802,0.0,0.0,0.0,0.0,0.0,0.0027450980392156863,0.0,0.0,0.0
2004-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022285714285714284
2004-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11,0.3712592592592593,0.38474918599918595,0.0,0.0,0.0,0.0014388489208633094,0.0,0.0,0.011127819548872181,0.027285714285714285
2004-12,1.1352625910337841,0.06595876034078281,0.008305084745762713,0.0,0.0,0.22540247007894068,0.058323954606275194,0.0,0.0,0.0
2005-01,2.9574502988008717,1.2813468158347676,0.0,0.0,0.0,0.9792798558770225,0.8957749465409933,0.0,0.0,0.18846171802054154
2005-02,2.1616019858389044,0.551495793175056,0.0,0.0,0.0,1.946584206962891,1.9903636363636366,0.0,0.0,0.009565217391304346
2005-03,1.102742993440668,0.2328627700801614,0.0,0.0,0.0,0.3654848526297511,0.06439024390243904,0.0,0.0,0.0
2005-04,0.000746268656716418,0.0,0.0,0.0,0.0,0.0025352112676056337,0.0,0.0,0.0,0.0
2005-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10,0.03818407960199005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11,0.23056990484157688,0.34665768736261465,0.0,0.0,0.0,0.2960577673692427,0.13431021341463414,0.0,0.0,0.8449122807017544
2005-12,19.15948733124045,0.7650877229668972,0.0,0.0,0.0,1.286505198728196,0.5388092696695842,0.0,0.0,0.058904761904761904
2006-01,0.8323191872261545,0.3593118296868296,0.0,0.0,0.0,0.2545426413498501,0.06549578482537133,0.0,0.0,0.05250172532781228
