Month,symptoms of flu: (Arizona),symptoms of flu: (Boston MA-Manchester NH),symptoms of flu: (California),symptoms of flu: (Chicago IL),symptoms of flu: (Florida),symptoms of flu: (Houston TX),symptoms of flu: (Illinois),symptoms of flu: (Los Angeles CA),symptoms of flu: (Massachusetts),symptoms of flu: (Miami-Ft. Lauderdale FL),symptoms of flu: (New York),symptoms of flu: (New York NY),symptoms of flu: (Pennsylvania),symptoms of flu: (Philadelphia PA),symptoms of flu: (Phoenix AZ),symptoms of flu: (Seattle-Tacoma WA),symptoms of flu: (San Francisco-Oakland-San Jose CA),symptoms of flu: (Texas),symptoms of flu: (United States),symptoms of flu: (Washington)
2004-01,13,5,7,0,5,0,0,3,11,0,9,3,0,4,15,0,0,3,5,0
2004-02,0,0,0,0,0,0,7,0,5,0,3,0,0,4,0,7,10,0,3,5
2004-03,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0
2004-04,12,5,0,0,0,0,3,0,5,0,3,3,0,0,13,7,0,3,1,5
2004-05,0,4,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
2004-06,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,4
2004-07,0,0,4,0,0,0,0,3,0,0,3,0,3,4,0,0,0,0,<1,0
2004-08,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0
2004-09,0,0,2,0,3,0,0,3,4,0,0,5,0,0,0,0,9,0,1,0
2004-10,0,15,4,0,3,0,8,0,9,14,5,0,3,3,0,16,18,9,5,4
2004-11,10,0,6,0,3,0,6,0,4,0,0,0,6,4,0,0,10,0,4,0
2004-12,0,10,3,6,3,0,5,3,0,0,2,0,3,0,0,0,0,2,4,0
2005-01,16,3,6,5,3,0,4,2,18,0,10,18,2,3,9,0,16,4,5,0
2005-02,0,10,10,10,8,0,5,5,8,12,8,6,12,3,9,0,8,4,6,0
2005-03,14,5,5,7,5,0,0,2,3,0,2,0,6,7,0,8,21,4,5,11
2005-04,8,3,8,0,3,0,0,5,4,0,6,4,0,0,0,0,8,4,2,0
2005-05,0,0,3,2,2,0,0,4,3,0,0,0,4,0,0,0,0,0,1,3
2005-06,7,0,3,2,0,0,0,4,0,10,4,2,0,0,0,0,0,2,1,0
2005-07,7,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,7,0,1,6
2005-08,0,6,1,0,6,0,0,2,0,0,5,3,2,2,0,4,7,0,1,0
2005-09,0,0,2,2,2,0,7,2,0,0,5,2,4,0,0,0,0,0,2,0
2005-10,0,9,11,2,8,7,7,3,3,0,6,4,2,6,19,4,18,1,7,5
2005-11,0,5,6,5,2,14,3,5,6,9,6,5,3,10,13,4,12,9,7,5
2005-12,6,2,6,3,5,7,5,5,5,8,3,0,8,4,6,3,30,6,4,5
2006-01,15,0,8,3,8,12,6,4,5,7,3,6,1,2,0,3,5,6,5,4
2006-02,15,4,11,3,10,0,1,9,8,0,5,3,3,7,17,7,11,6,6,5
2006-03,4,4,9,6,4,0,8,5,7,0,7,7,1,2,5,6,5,2,6,2
2006-04,0,4,5,6,3,11,3,3,0,0,2,1,0,0,0,6,10,5,3,0
2006-05,9,8,5,0,1,5,4,3,9,0,5,5,5,2,5,6,0,4,4,6
2006-06,5,0,6,1,3,0,3,3,2,0,2,2,1,3,0,6,10,5,2,0
2006-07,4,0,1,1,1,0,1,0,5,0,1,0,4,0,5,0,5,1,1,0
2006-08,4,2,1,0,4,5,1,1,2,6,1,0,3,1,8,0,5,2,2,0
2006-09,4,0,1,3,0,0,3,1,4,6,1,1,1,0,0,3,0,2,1,0
2006-10,7,3,2,2,1,14,1,3,4,5,2,2,1,1,4,0,4,5,3,0
2006-11,4,5,2,2,7,0,2,2,0,0,3,7,0,4,0,7,0,4,3,3
2006-12,0,2,6,4,8,9,2,2,2,11,9,7,5,2,0,10,27,7,5,0
2007-01,7,4,10,5,2,4,1,5,3,0,3,5,5,2,4,2,0,6,4,3
2007-02,0,5,10,4,6,4,2,5,4,0,8,5,7,3,4,14,0,11,5,5
2007-03,9,3,4,2,1,0,3,2,3,0,8,8,5,1,7,2,4,3,3,3
2007-04,3,3,3,0,1,11,0,2,3,4,3,3,4,0,10,0,7,4,2,3
2007-05,6,0,1,2,3,0,1,1,0,4,0,2,2,1,0,0,0,1,1,1
2007-06,3,3,3,1,2,0,3,1,0,4,1,0,2,0,0,0,6,0,1,1
2007-07,0,0,3,0,1,0,1,2,2,0,3,3,1,0,3,2,3,1,1,1
2007-08,0,0,2,1,2,4,2,2,0,4,2,1,0,0,0,2,3,2,2,0
2007-09,0,0,3,2,4,4,2,2,1,4,1,2,2,1,0,2,5,3,2,0
2007-10,0,5,3,1,4,4,0,2,1,0,3,3,1,1,0,0,13,5,3,1
2007-11,8,1,4,2,4,4,5,2,5,4,1,1,3,1,5,0,6,2,4,0
2007-12,3,4,5,3,2,4,3,2,1,4,4,4,2,2,0,7,2,8,4,6
2008-01,7,4,7,2,5,7,2,5,5,7,7,8,8,1,3,2,11,6,4,2
2008-02,7,5,8,4,5,10,3,6,4,10,16,14,8,7,8,10,12,10,10,5
2008-03,0,6,6,4,2,3,4,3,7,3,8,10,4,4,10,6,4,5,5,3
2008-04,4,2,3,3,3,3,3,2,6,0,2,4,3,1,5,8,6,2,2,5
2008-05,0,1,3,2,2,0,2,2,4,0,2,3,1,0,0,3,4,1,1,1
2008-06,2,1,1,4,1,0,1,1,0,0,2,4,0,2,5,3,2,1,1,1
2008-07,2,0,2,1,1,0,0,2,0,0,1,1,1,0,0,2,2,2,1,1
2008-08,0,1,2,1,4,3,1,3,1,3,1,2,1,1,0,2,2,2,1,0
2008-09,2,2,3,1,1,6,2,3,1,3,2,4,1,1,0,3,5,2,2,1
2008-10,4,1,7,2,5,0,3,3,3,3,6,4,2,3,2,5,1,4,3,3
2008-11,11,2,5,3,5,11,5,6,7,3,4,3,3,2,5,1,3,4,5,1
2008-12,4,5,2,2,3,0,1,4,1,0,5,4,2,3,10,4,3,5,4,2
2009-01,2,4,6,3,3,12,2,3,0,6,4,6,5,3,9,4,6,5,4,3
2009-02,6,3,6,3,4,10,9,3,11,6,16,10,7,10,2,3,7,6,7,2
2009-03,6,3,2,4,3,2,1,3,3,8,8,4,3,0,6,0,4,5,4,2
2009-04,68,32,76,38,46,100,48,57,54,55,66,85,35,46,54,56,83,89,54,50
2009-05,69,61,55,46,51,35,44,46,69,100,96,100,47,35,63,74,71,63,58,61
2009-06,23,23,26,14,18,10,15,21,34,20,59,58,22,19,13,12,37,13,22,9
2009-07,14,17,18,10,29,12,9,18,14,28,18,22,14,14,7,10,39,10,15,6
2009-08,26,12,27,14,39,26,19,16,16,38,19,18,18,16,39,15,30,26,25,9
2009-09,60,51,53,35,100,80,51,47,56,77,55,49,47,45,59,67,59,87,68,54
2009-10,100,72,100,100,73,90,100,100,86,80,96,80,100,100,100,100,100,100,100,100
2009-11,85,100,61,44,51,43,61,58,100,31,100,93,48,41,56,42,59,45,53,30
2009-12,25,16,22,13,16,24,16,24,16,25,27,34,13,10,17,14,30,17,17,11
2010-01,20,14,16,6,7,16,7,17,19,10,21,16,10,7,16,14,8,15,11,14
2010-02,8,7,8,3,6,12,6,10,6,14,9,10,6,6,8,6,10,8,8,6
2010-03,7,4,6,5,5,13,8,7,3,2,5,4,5,6,8,9,8,5,6,10
2010-04,0,2,4,3,6,0,1,2,1,3,2,3,2,4,2,5,5,4,3,5
2010-05,6,3,3,2,3,5,2,5,7,6,3,5,1,2,2,0,4,3,3,1
2010-06,0,1,3,1,2,0,0,4,1,6,1,1,1,3,0,0,2,3,2,1
2010-07,8,4,3,4,3,5,1,2,0,3,1,2,1,0,4,3,3,2,2,1
2010-08,2,1,2,0,4,0,6,2,2,3,3,3,1,1,0,1,5,1,2,1
2010-09,5,4,4,3,1,2,1,5,3,0,8,4,3,1,0,1,3,3,3,3
2010-10,7,1,3,3,6,4,4,3,3,3,4,3,4,2,4,3,3,4,4,6
2010-11,5,3,6,4,7,7,6,6,4,8,6,7,3,5,2,8,4,5,5,6
2010-12,10,7,8,5,6,13,3,5,6,5,9,8,4,2,6,2,6,8,6,3
2011-01,8,6,10,8,9,14,7,5,9,9,13,15,8,6,13,6,15,12,9,3
2011-02,9,8,11,7,7,13,9,7,10,8,13,15,9,7,10,6,22,12,12,5
2011-03,5,5,9,4,5,6,4,6,4,2,7,9,5,8,6,11,15,6,7,4
2011-04,5,3,5,2,5,4,4,3,3,4,4,5,1,2,4,7,19,4,4,3
2011-05,4,3,5,2,5,2,2,4,2,7,3,3,2,2,1,3,10,2,3,3
2011-06,2,1,5,1,1,1,2,3,2,2,1,3,1,1,2,4,12,2,2,2
2011-07,1,1,3,2,3,2,2,3,2,2,2,2,1,2,3,1,5,2,2,0
2011-08,1,0,3,1,2,1,2,2,1,3,2,3,2,1,1,3,8,2,2,2
2011-09,1,2,6,4,4,2,3,2,2,2,4,5,4,3,4,4,11,6,4,2
2011-10,9,8,8,4,4,8,4,5,2,4,6,5,8,5,4,3,8,7,6,2
2011-11,5,5,6,6,5,10,6,3,8,4,7,7,5,3,5,7,11,5,6,4
2011-12,3,6,7,5,4,6,4,6,9,1,5,6,7,4,9,7,12,7,5,6
2012-01,11,5,8,6,5,3,5,7,6,6,8,7,6,4,4,2,15,6,6,3
2012-02,5,6,9,5,4,4,6,4,5,4,7,7,4,4,2,3,16,6,6,5
2012-03,5,3,8,6,4,8,5,5,3,3,6,6,5,3,6,5,7,7,5,4
2012-04,4,2,6,4,3,6,3,3,2,2,4,4,3,3,4,5,7,6,4,3
2012-05,4,4,5,3,3,2,3,2,2,3,4,2,2,2,4,2,8,3,3,3
2012-06,3,2,4,1,2,4,3,2,<1,3,2,2,1,1,2,3,4,3,3,2
2012-07,2,2,3,3,2,5,1,3,3,3,2,2,1,<1,4,5,7,2,2,3
2012-08,2,2,3,2,3,1,3,4,2,1,2,2,4,2,2,2,4,2,3,2
2012-09,6,2,5,3,4,6,6,4,3,5,5,6,4,4,3,2,11,6,5,2
2012-10,7,4,7,5,5,8,6,5,5,5,6,5,5,2,7,7,14,7,6,3
2012-11,8,5,11,7,7,8,6,7,5,6,6,6,3,5,7,3,10,8,7,3
2012-12,12,13,7,12,9,21,11,4,17,8,15,16,9,10,7,5,21,14,15,4
2013-01,41,39,44,24,25,30,26,22,35,26,44,53,26,29,35,25,78,41,34,20
2013-02,14,12,21,12,10,14,12,14,12,12,17,19,11,10,10,8,31,14,15,8
2013-03,12,6,15,8,10,11,7,9,7,8,12,12,9,9,10,5,14,10,11,4
2013-04,7,5,10,5,6,8,5,6,4,7,7,9,5,5,4,5,11,6,7,5
2013-05,5,4,4,3,3,2,2,3,2,4,2,4,2,3,6,2,12,3,3,2
2013-06,4,2,4,2,3,4,3,2,1,2,2,2,1,1,5,3,6,1,2,2
2013-07,4,2,3,2,1,2,2,2,2,2,2,2,2,1,3,2,4,2,2,2
2013-08,3,2,3,2,2,2,3,3,1,6,2,2,1,<1,4,2,6,2,2,3
2013-09,4,3,6,2,4,3,2,3,2,5,4,4,3,1,2,4,12,4,4,4
2013-10,9,5,8,5,5,8,4,5,8,7,5,6,3,3,7,4,15,7,6,5
2013-11,5,5,11,6,5,10,5,5,7,8,5,5,5,4,4,6,7,8,6,4
2013-12,6,7,12,10,7,25,8,7,7,9,10,10,5,4,5,8,17,22,11,5
2014-01,20,15,35,13,14,20,12,17,13,10,15,17,14,8,16,22,71,30,21,18
2014-02,13,7,18,7,9,7,7,8,9,7,8,9,7,5,8,11,39,10,10,9
2014-03,6,6,5,4,5,7,5,4,7,8,8,10,6,5,4,8,7,6,7,4
2014-04,9,4,5,3,5,6,5,5,4,7,7,8,4,4,8,3,10,5,5,2
2014-05,3,4,5,3,4,4,3,3,1,5,5,5,2,1,7,4,9,3,3,2
