Category: All categories

Month,symptoms of flu: (Boston MA-Manchester NH)
2009-01,3
2009-02,8
2009-03,8
2009-04,57
2009-05,75
2009-06,52
2009-07,21
2009-08,23
2009-09,61
2009-10,100
2009-11,88
2009-12,20
2010-01,18
2010-02,9
2010-03,5
2010-04,4
2010-05,3
2010-06,0
2010-07,1
2010-08,4
2010-09,5
2010-10,6
2010-11,3
2010-12,5
2011-01,8
2011-02,12
2011-03,6
2011-04,4
2011-05,3
2011-06,1
2011-07,2
2011-08,1
2011-09,2
2011-10,6
2011-11,7
2011-12,7
2012-01,11
2012-02,5
2012-03,5
2012-04,3
2012-05,2
2012-06,2
2012-07,2
2012-08,1
2012-09,4
2012-10,8
2012-11,6
2012-12,14
2013-01,55
2013-02,17
2013-03,9
2013-04,8
2013-05,5
2013-06,2
2013-07,2
2013-08,1
2013-09,3
2013-10,5
2013-11,8
2013-12,6
2014-01,19
2014-02,12
2014-03,8
2014-04,5
2014-05,3
2014-06,4
2014-07,2
2014-08,1
2014-09,2
2014-10,9
2014-11,5
2014-12,9
2015-01,26
2015-02,12
2015-03,11
2015-04,10
2015-05,7
2015-06,5
2015-07,2
2015-08,2
2015-09,4
2015-10,6
2015-11,6
2015-12,10
2016-01,8
2016-02,4
2016-03,9
2016-04,9
2016-05,6
2016-06,2
2016-07,1
2016-08,1
2016-09,4
2016-10,9
2016-11,5
2016-12,6
2017-01,7
2017-02,14
2017-03,13
2017-04,8
2017-05,4
2017-06,2
2017-07,2
2017-08,4
2017-09,4
2017-10,8
2017-11,9
2017-12,13
2018-01,37
