Category: All categories

Month,symptoms of flu: (California)
2009-01,4
2009-02,5
2009-03,4
2009-04,70
2009-05,58
2009-06,24
2009-07,18
2009-08,29
2009-09,53
2009-10,100
2009-11,62
2009-12,21
2010-01,15
2010-02,10
2010-03,5
2010-04,5
2010-05,3
2010-06,3
2010-07,3
2010-08,3
2010-09,5
2010-10,3
2010-11,5
2010-12,7
2011-01,10
2011-02,10
2011-03,8
2011-04,6
2011-05,5
2011-06,5
2011-07,3
2011-08,3
2011-09,6
2011-10,7
2011-11,8
2011-12,8
2012-01,9
2012-02,7
2012-03,8
2012-04,5
2012-05,5
2012-06,4
2012-07,4
2012-08,3
2012-09,5
2012-10,9
2012-11,11
2012-12,8
2013-01,41
2013-02,20
2013-03,14
2013-04,10
2013-05,4
2013-06,3
2013-07,4
2013-08,3
2013-09,5
2013-10,8
2013-11,10
2013-12,11
2014-01,34
2014-02,15
2014-03,5
2014-04,6
2014-05,5
2014-06,5
2014-07,4
2014-08,3
2014-09,5
2014-10,11
2014-11,9
2014-12,13
2015-01,24
2015-02,13
2015-03,8
2015-04,7
2015-05,7
2015-06,5
2015-07,4
2015-08,3
2015-09,4
2015-10,5
2015-11,7
2015-12,12
2016-01,8
2016-02,9
2016-03,8
2016-04,6
2016-05,5
2016-06,4
2016-07,3
2016-08,4
2016-09,5
2016-10,7
2016-11,6
2016-12,8
2017-01,11
2017-02,11
2017-03,8
2017-04,8
2017-05,6
2017-06,3
2017-07,3
2017-08,4
2017-09,5
2017-10,6
2017-11,8
2017-12,17
2018-01,55
