Category: All categories

Month,symptoms of flu: (Houston TX)
2009-01,8
2009-02,6
2009-03,6
2009-04,100
2009-05,65
2009-06,10
2009-07,8
2009-08,18
2009-09,61
2009-10,95
2009-11,24
2009-12,20
2010-01,17
2010-02,14
2010-03,9
2010-04,2
2010-05,2
2010-06,0
2010-07,4
2010-08,0
2010-09,6
2010-10,6
2010-11,7
2010-12,9
2011-01,11
2011-02,12
2011-03,3
2011-04,4
2011-05,3
2011-06,1
2011-07,1
2011-08,1
2011-09,4
2011-10,5
2011-11,6
2011-12,5
2012-01,4
2012-02,3
2012-03,3
2012-04,5
2012-05,2
2012-06,4
2012-07,1
2012-08,1
2012-09,7
2012-10,7
2012-11,6
2012-12,12
2013-01,22
2013-02,13
2013-03,10
2013-04,5
2013-05,2
2013-06,2
2013-07,2
2013-08,0
2013-09,3
2013-10,6
2013-11,9
2013-12,17
2014-01,19
2014-02,8
2014-03,7
2014-04,4
2014-05,4
2014-06,1
2014-07,2
2014-08,1
2014-09,4
2014-10,9
2014-11,6
2014-12,13
2015-01,19
2015-02,7
2015-03,5
2015-04,6
2015-05,5
2015-06,2
2015-07,2
2015-08,1
2015-09,2
2015-10,5
2015-11,4
2015-12,7
2016-01,6
2016-02,9
2016-03,7
2016-04,7
2016-05,3
2016-06,2
2016-07,1
2016-08,1
2016-09,5
2016-10,4
2016-11,5
2016-12,6
2017-01,7
2017-02,13
2017-03,6
2017-04,5
2017-05,3
2017-06,3
2017-07,2
2017-08,1
2017-09,4
2017-10,6
2017-11,4
2017-12,27
2018-01,52
