Category: All categories

Month,symptoms of flu: (Illinois)
2009-01,4
2009-02,5
2009-03,5
2009-04,47
2009-05,59
2009-06,20
2009-07,10
2009-08,20
2009-09,37
2009-10,100
2009-11,47
2009-12,13
2010-01,8
2010-02,5
2010-03,5
2010-04,8
2010-05,1
2010-06,1
2010-07,2
2010-08,1
2010-09,5
2010-10,6
2010-11,5
2010-12,8
2011-01,7
2011-02,8
2011-03,4
2011-04,3
2011-05,2
2011-06,2
2011-07,1
2011-08,1
2011-09,3
2011-10,4
2011-11,6
2011-12,5
2012-01,8
2012-02,7
2012-03,7
2012-04,3
2012-05,3
2012-06,1
2012-07,3
2012-08,4
2012-09,4
2012-10,4
2012-11,6
2012-12,11
2013-01,26
2013-02,12
2013-03,9
2013-04,4
2013-05,3
2013-06,2
2013-07,2
2013-08,1
2013-09,3
2013-10,6
2013-11,5
2013-12,11
2014-01,12
2014-02,6
2014-03,5
2014-04,3
2014-05,3
2014-06,2
2014-07,1
2014-08,3
2014-09,3
2014-10,6
2014-11,6
2014-12,21
2015-01,10
2015-02,8
2015-03,8
2015-04,7
2015-05,4
2015-06,5
2015-07,1
2015-08,1
2015-09,4
2015-10,3
2015-11,4
2015-12,5
2016-01,3
2016-02,6
2016-03,6
2016-04,3
2016-05,3
2016-06,2
2016-07,2
2016-08,1
2016-09,3
2016-10,4
2016-11,5
2016-12,4
2017-01,7
2017-02,13
2017-03,7
2017-04,4
2017-05,3
2017-06,2
2017-07,2
2017-08,2
2017-09,4
2017-10,4
2017-11,5
2017-12,11
2018-01,34
