Category: All categories

Month,symptoms of flu: (Massachusetts)
2009-01,3
2009-02,12
2009-03,6
2009-04,60
2009-05,68
2009-06,42
2009-07,18
2009-08,19
2009-09,56
2009-10,92
2009-11,100
2009-12,16
2010-01,13
2010-02,12
2010-03,6
2010-04,4
2010-05,5
2010-06,2
2010-07,1
2010-08,2
2010-09,4
2010-10,6
2010-11,5
2010-12,7
2011-01,9
2011-02,16
2011-03,7
2011-04,2
2011-05,1
2011-06,2
2011-07,4
2011-08,1
2011-09,2
2011-10,4
2011-11,6
2011-12,8
2012-01,7
2012-02,4
2012-03,7
2012-04,1
2012-05,3
2012-06,2
2012-07,4
2012-08,2
2012-09,3
2012-10,5
2012-11,7
2012-12,13
2013-01,40
2013-02,14
2013-03,8
2013-04,5
2013-05,3
2013-06,1
2013-07,2
2013-08,<1
2013-09,3
2013-10,7
2013-11,5
2013-12,7
2014-01,16
2014-02,10
2014-03,8
2014-04,7
2014-05,3
2014-06,5
2014-07,1
2014-08,1
2014-09,3
2014-10,10
2014-11,8
2014-12,7
2015-01,19
2015-02,13
2015-03,11
2015-04,8
2015-05,5
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,3
2015-11,7
2015-12,12
2016-01,5
2016-02,5
2016-03,10
2016-04,9
2016-05,4
2016-06,3
2016-07,1
2016-08,2
2016-09,4
2016-10,5
2016-11,5
2016-12,6
2017-01,11
2017-02,14
2017-03,9
2017-04,7
2017-05,4
2017-06,3
2017-07,1
2017-08,1
2017-09,3
2017-10,6
2017-11,7
2017-12,14
2018-01,37
