Category: All categories

Month,symptoms of flu: (New York)
2009-01,7
2009-02,11
2009-03,7
2009-04,78
2009-05,100
2009-06,58
2009-07,16
2009-08,23
2009-09,52
2009-10,96
2009-11,99
2009-12,30
2010-01,16
2010-02,13
2010-03,4
2010-04,4
2010-05,3
2010-06,2
2010-07,2
2010-08,1
2010-09,5
2010-10,4
2010-11,6
2010-12,8
2011-01,13
2011-02,13
2011-03,8
2011-04,5
2011-05,3
2011-06,3
2011-07,1
2011-08,3
2011-09,3
2011-10,7
2011-11,6
2011-12,5
2012-01,10
2012-02,9
2012-03,5
2012-04,4
2012-05,4
2012-06,2
2012-07,2
2012-08,1
2012-09,5
2012-10,7
2012-11,7
2012-12,16
2013-01,53
2013-02,18
2013-03,13
2013-04,8
2013-05,3
2013-06,2
2013-07,2
2013-08,2
2013-09,6
2013-10,7
2013-11,7
2013-12,10
2014-01,16
2014-02,13
2014-03,10
2014-04,8
2014-05,4
2014-06,2
2014-07,2
2014-08,3
2014-09,4
2014-10,8
2014-11,9
2014-12,20
2015-01,28
2015-02,16
2015-03,9
2015-04,8
2015-05,4
2015-06,3
2015-07,2
2015-08,2
2015-09,5
2015-10,7
2015-11,7
2015-12,7
2016-01,7
2016-02,11
2016-03,14
2016-04,7
2016-05,4
2016-06,3
2016-07,1
2016-08,2
2016-09,4
2016-10,7
2016-11,7
2016-12,9
2017-01,13
2017-02,19
2017-03,8
2017-04,7
2017-05,5
2017-06,3
2017-07,3
2017-08,3
2017-09,7
2017-10,6
2017-11,8
2017-12,14
2018-01,41
