Category: All categories

Month,symptoms of flu: (New York NY)
2009-01,5
2009-02,14
2009-03,7
2009-04,72
2009-05,100
2009-06,55
2009-07,19
2009-08,22
2009-09,45
2009-10,80
2009-11,84
2009-12,29
2010-01,19
2010-02,10
2010-03,6
2010-04,4
2010-05,5
2010-06,3
2010-07,2
2010-08,2
2010-09,4
2010-10,5
2010-11,4
2010-12,8
2011-01,13
2011-02,12
2011-03,8
2011-04,3
2011-05,4
2011-06,3
2011-07,2
2011-08,2
2011-09,5
2011-10,5
2011-11,6
2011-12,5
2012-01,8
2012-02,6
2012-03,6
2012-04,3
2012-05,3
2012-06,2
2012-07,2
2012-08,1
2012-09,4
2012-10,5
2012-11,6
2012-12,16
2013-01,51
2013-02,19
2013-03,10
2013-04,6
2013-05,3
2013-06,2
2013-07,2
2013-08,3
2013-09,3
2013-10,5
2013-11,6
2013-12,9
2014-01,15
2014-02,10
2014-03,9
2014-04,8
2014-05,4
2014-06,2
2014-07,2
2014-08,3
2014-09,3
2014-10,10
2014-11,7
2014-12,17
2015-01,25
2015-02,14
2015-03,10
2015-04,7
2015-05,4
2015-06,2
2015-07,2
2015-08,2
2015-09,4
2015-10,6
2015-11,7
2015-12,7
2016-01,7
2016-02,9
2016-03,14
2016-04,6
2016-05,4
2016-06,3
2016-07,2
2016-08,1
2016-09,4
2016-10,6
2016-11,6
2016-12,7
2017-01,12
2017-02,15
2017-03,9
2017-04,5
2017-05,3
2017-06,2
2017-07,2
2017-08,2
2017-09,4
2017-10,5
2017-11,8
2017-12,13
2018-01,42
