Category: All categories

Month,symptoms of flu: (Pennsylvania)
2009-01,3
2009-02,8
2009-03,4
2009-04,36
2009-05,45
2009-06,13
2009-07,13
2009-08,11
2009-09,48
2009-10,100
2009-11,53
2009-12,10
2010-01,6
2010-02,4
2010-03,6
2010-04,2
2010-05,1
2010-06,2
2010-07,3
2010-08,2
2010-09,3
2010-10,2
2010-11,3
2010-12,5
2011-01,8
2011-02,8
2011-03,5
2011-04,2
2011-05,3
2011-06,2
2011-07,2
2011-08,1
2011-09,3
2011-10,4
2011-11,6
2011-12,6
2012-01,4
2012-02,4
2012-03,4
2012-04,4
2012-05,2
2012-06,1
2012-07,1
2012-08,2
2012-09,4
2012-10,5
2012-11,3
2012-12,8
2013-01,25
2013-02,9
2013-03,8
2013-04,5
2013-05,2
2013-06,2
2013-07,2
2013-08,1
2013-09,4
2013-10,3
2013-11,4
2013-12,4
2014-01,13
2014-02,7
2014-03,5
2014-04,5
2014-05,3
2014-06,2
2014-07,2
2014-08,1
2014-09,2
2014-10,5
2014-11,4
2014-12,13
2015-01,11
2015-02,9
2015-03,5
2015-04,6
2015-05,3
2015-06,3
2015-07,<1
2015-08,2
2015-09,2
2015-10,2
2015-11,5
2015-12,7
2016-01,3
2016-02,5
2016-03,8
2016-04,3
2016-05,2
2016-06,1
2016-07,1
2016-08,1
2016-09,2
2016-10,5
2016-11,3
2016-12,5
2017-01,9
2017-02,13
2017-03,6
2017-04,4
2017-05,1
2017-06,1
2017-07,1
2017-08,2
2017-09,3
2017-10,4
2017-11,3
2017-12,9
2018-01,24
