Category: All categories

Month,symptoms of flu: (Philadelphia PA)
2009-01,2
2009-02,5
2009-03,1
2009-04,50
2009-05,40
2009-06,15
2009-07,11
2009-08,19
2009-09,44
2009-10,100
2009-11,36
2009-12,12
2010-01,7
2010-02,5
2010-03,5
2010-04,3
2010-05,1
2010-06,0
2010-07,0
2010-08,1
2010-09,1
2010-10,2
2010-11,4
2010-12,3
2011-01,5
2011-02,10
2011-03,5
2011-04,2
2011-05,3
2011-06,3
2011-07,1
2011-08,2
2011-09,3
2011-10,3
2011-11,3
2011-12,3
2012-01,4
2012-02,4
2012-03,3
2012-04,3
2012-05,2
2012-06,2
2012-07,1
2012-08,1
2012-09,2
2012-10,2
2012-11,4
2012-12,11
2013-01,31
2013-02,8
2013-03,9
2013-04,5
2013-05,3
2013-06,1
2013-07,1
2013-08,<1
2013-09,<1
2013-10,4
2013-11,3
2013-12,4
2014-01,9
2014-02,3
2014-03,4
2014-04,3
2014-05,2
2014-06,1
2014-07,1
2014-08,2
2014-09,1
2014-10,4
2014-11,4
2014-12,10
2015-01,16
2015-02,5
2015-03,6
2015-04,2
2015-05,3
2015-06,2
2015-07,1
2015-08,2
2015-09,1
2015-10,3
2015-11,4
2015-12,5
2016-01,3
2016-02,5
2016-03,6
2016-04,4
2016-05,2
2016-06,1
2016-07,1
2016-08,1
2016-09,4
2016-10,2
2016-11,4
2016-12,4
2017-01,7
2017-02,10
2017-03,4
2017-04,2
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,3
2017-11,4
2017-12,6
2018-01,25
