Category: All categories

Month,symptoms of flu: (San Francisco-Oakland-San Jose CA)
2009-01,6
2009-02,9
2009-03,5
2009-04,100
2009-05,76
2009-06,40
2009-07,21
2009-08,41
2009-09,53
2009-10,94
2009-11,62
2009-12,23
2010-01,11
2010-02,11
2010-03,5
2010-04,4
2010-05,2
2010-06,2
2010-07,3
2010-08,5
2010-09,2
2010-10,4
2010-11,6
2010-12,12
2011-01,15
2011-02,21
2011-03,16
2011-04,9
2011-05,7
2011-06,4
2011-07,6
2011-08,3
2011-09,10
2011-10,4
2011-11,16
2011-12,15
2012-01,18
2012-02,17
2012-03,9
2012-04,9
2012-05,7
2012-06,6
2012-07,6
2012-08,1
2012-09,10
2012-10,14
2012-11,14
2012-12,16
2013-01,73
2013-02,32
2013-03,15
2013-04,14
2013-05,13
2013-06,6
2013-07,5
2013-08,3
2013-09,9
2013-10,7
2013-11,15
2013-12,31
2014-01,77
2014-02,33
2014-03,8
2014-04,9
2014-05,11
2014-06,5
2014-07,4
2014-08,6
2014-09,11
2014-10,15
2014-11,16
2014-12,32
2015-01,39
2015-02,23
2015-03,18
2015-04,8
2015-05,12
2015-06,4
2015-07,6
2015-08,2
2015-09,9
2015-10,8
2015-11,12
2015-12,22
2016-01,11
2016-02,18
2016-03,11
2016-04,13
2016-05,12
2016-06,8
2016-07,2
2016-08,5
2016-09,8
2016-10,10
2016-11,13
2016-12,16
2017-01,21
2017-02,20
2017-03,10
2017-04,11
2017-05,6
2017-06,4
2017-07,3
2017-08,4
2017-09,6
2017-10,13
2017-11,13
2017-12,26
2018-01,95
