Category: All categories

Month,symptoms of flu: (Texas)
2009-01,7
2009-02,7
2009-03,5
2009-04,76
2009-05,63
2009-06,15
2009-07,9
2009-08,21
2009-09,78
2009-10,100
2009-11,42
2009-12,15
2010-01,13
2010-02,9
2010-03,6
2010-04,4
2010-05,3
2010-06,2
2010-07,3
2010-08,2
2010-09,3
2010-10,6
2010-11,5
2010-12,9
2011-01,10
2011-02,12
2011-03,6
2011-04,3
2011-05,3
2011-06,1
2011-07,1
2011-08,2
2011-09,5
2011-10,6
2011-11,6
2011-12,5
2012-01,5
2012-02,7
2012-03,6
2012-04,5
2012-05,2
2012-06,3
2012-07,3
2012-08,4
2012-09,4
2012-10,7
2012-11,9
2012-12,13
2013-01,37
2013-02,15
2013-03,8
2013-04,7
2013-05,3
2013-06,1
2013-07,2
2013-08,2
2013-09,4
2013-10,5
2013-11,5
2013-12,22
2014-01,30
2014-02,9
2014-03,7
2014-04,6
2014-05,4
2014-06,2
2014-07,2
2014-08,2
2014-09,5
2014-10,10
2014-11,7
2014-12,22
2015-01,18
2015-02,9
2015-03,10
2015-04,6
2015-05,5
2015-06,4
2015-07,2
2015-08,2
2015-09,3
2015-10,6
2015-11,6
2015-12,7
2016-01,5
2016-02,10
2016-03,9
2016-04,6
2016-05,3
2016-06,3
2016-07,2
2016-08,2
2016-09,4
2016-10,4
2016-11,4
2016-12,6
2017-01,9
2017-02,18
2017-03,9
2017-04,6
2017-05,4
2017-06,3
2017-07,2
2017-08,1
2017-09,5
2017-10,5
2017-11,8
2017-12,23
2018-01,55
